baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	3	Macclesfield	[u'Single Family', u'Built in 1990', u'All time views: 1,347', u'Last sold: Dec 2015 for $65,000', u'Last sale price/sqft: $66', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'Security System', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Family room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 984 sqft', u'Last remodel year: 1990', u'Laundry: In Unit', u'Parcel #: 471384101200', u'Zillow Home ID: 112891784']	http://photos2.zillowstatic.com/p_e/ISt47x3inavvrd1000000000.jpg	65000.0	[]	984.0	NC	61674.0	27852	112891784
2.0	2	Macclesfield	[u'Single Family', u'Built in 1965', u'All time views: 1,136', u'Last sold: Dec 2015 for $48,000', u'Last sale price/sqft: $46', u'Attic', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, Garage - Detached, 4 spaces', u'Wired Garage/Workshop', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Laundry room', u'Workshop', u'Exterior material: Brick, Shingle, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,038 sqft', u'Last remodel year: 1975', u'Laundry: In Unit', u'Parcel #: 379321053200', u'Zillow Home ID: 68694622']	http://photos3.zillowstatic.com/p_e/IS5uicj410irle0000000000.jpg	48000.0	[]	1038.0	NC	52131.0	27852	68694622
2.0	4	Macclesfield	[u'Lot: 0.89 acres', u'Single Family', u'Built in 2001', u'All time views: 508', u'Heating: Forced air', u'Last sold: Jul 2015 for $28,000', u'Last sale price/sqft: $14', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Garage: None-Garage', u'Basement: Crawlspace', u'Rooms: Living Room', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Appliances: None', u'County: Edgecombe', u'Construction: Siding-Vinyl', u'Heating-Dn: None Up', u'Garage: None-Carport', u'Fuel-Dn: None-Up', u'A: None-Up', u'Miscellaneous: County', u'Garden Tub', u'Water: County Water', u'Ownership: Bank Owned', u'Electricity: Other Electricity-See Remarks', u'Dirt Drive', u'Type: Mobile Home Double', u'Dining room', u'Walk-in closet', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,052 sqft', u'Last remodel year: 2001', u'Parcel #: 470156597500', u'Zillow Home ID: 68687318']	http://photos1.zillowstatic.com/p_e/ISx78z1y0w7v6t1000000000.jpg	28000.0	[]	2052.0	NC	71406.0	27852	68687318
3.0	3	Macclesfield	[u'Baths: 2 full, 1 half', u'Lot: 10,018 sqft', u'Single Family', u'Built in 1950', u'All time views: 4,235', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $100,100', u'Last sale price/sqft: $63', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: Off street, On street', u'Porch', u'Almost everything in this home is new.  Move in condition!', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 1,600 sqft', u'Last remodel year: 2012', u'Parcel #: 379340977600', u'Zillow Home ID: 68679341']	http://photos2.zillowstatic.com/p_e/IS1z74sgiqzubc0000000000.jpg	100100.0	[]	1600.0	NC	58109.0	27852	68679341
2.0	3	Macclesfield	[u'Lot: 0.98 acres', u'Single Family', u'Built in 1999', u'All time views: 630', u'Cooling: Central, None', u'Heating: Heat pump', u'Last sold: May 2016 for $86,000', u'Last sale price/sqft: $53', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Hot Tub/Spa', u'Porch', u'Vaulted Ceiling', u'1st Floor Master', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Thermal Windows', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Laundry', u'Exterior Structures: Shed', u'Exterior Structures: Workshop', u'Attic: None', u'Smoke Detectors', u'Dry Connect', u'Gas Logs', u'Parking: Unpaved', u'Water: Municipal Water Available', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Dryer', u'Microwave', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,631 sqft', u'Last remodel year: 1999', u'Laundry: In Unit', u'Parcel #: 377367714600', u'Zillow Home ID: 68689192']	http://photos2.zillowstatic.com/p_e/IS17fn7o25qocdf.jpg	86000.0	[]	1631.0	NC	84638.0	27852	68689192
2.0	2	Macclesfield	[u'Single Family', u'Built in 1963', u'All time views: 2,378', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $47,000', u'Last sale price/sqft: $39', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Flooring: Hardwood, Tile', u'Lawn', u'Parking: Carport', u'Patio', u'Porch', u'Fuel Tank: Gas', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Water: Municipal Water', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Parking: Paved', u'Road Type: St)', u'Rooms: Bedroom 1', u'Fencing: Chain Link', u'Rooms: Bedroom 2', u'Rooms: Great Room', u'Rooms: Kitchen', u'Exterior Structures: Shed', u'Construction: Stone', u'Storm Windows', u'Smoke Detectors', u'Dry Connect', u'Fireplace: None', u'Attic: Access Only', u'Walk-In Closet', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,211 sqft', u'Heating: Gas', u'Zillow Home ID: 2099781155']	http://photos3.zillowstatic.com/p_e/ISl2wc0k8yla7m1000000000.jpg	47000.0	[]	1211.0	NC	55425.0	27852	2099781155
1.0	2	Macclesfield	[u'Lot: 1,224 sqft', u'Single Family', u'Built in 1968', u'All time views: 495', u'Last sold: Feb 2016 for $18,000', u'Last sale price/sqft: $18', u'Fireplace', u'Flooring: Hardwood', u'Porch', u'Type: One Story', u'Heating-Dn: Space Heater Down', u'Fuel-Dn: Gas-Down', u'A: None-Down', u'Water: City Sewer', u'Garage: None-Garage', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'None', u'Precautions: None Known', u'Property Status: Active', u'Property Type: Residential', u'Roof: Tin', u'Appliances: None', u'County: Edgecombe', u'Rooms: Master Bedroom 1st Level', u'Construction: Siding-Vinyl', u'Heating-Dn: None Up', u'Garage: None-Carport', u'Fuel-Dn: None-Up', u'A: None-Up', u'Miscellaneous: County', u'Ownership: Bank Owned', u'Electricity: Martin', u'Water: Community Water System', u'Subdivision: FOREST HILLS', u'Roof type: Composition', u'Stories: 0', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,025 sqft', u'Last remodel year: 1940', u'Parcel #: 379341962000', u'Zillow Home ID: 68696749']	http://photos3.zillowstatic.com/p_e/IStkzhzjsvgk981000000000.jpg	18000.0	[]	1025.0	NC	52186.0	27852	68696749
1.0	3	Macclesfield	[u'Single Family', u'Built in 1990', u'All time views: 1,348', u'Last sold: Dec 2015 for $65,000', u'Last sale price/sqft: $66', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'Security System', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Family room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 984 sqft', u'Last remodel year: 1990', u'Laundry: In Unit', u'Parcel #: 471384101200', u'Zillow Home ID: 112891784']	http://photos2.zillowstatic.com/p_e/ISt47x3inavvrd1000000000.jpg	65000.0	[]	984.0	NC	61674.0	27852	112891784
2.0	2	Macclesfield	[u'Single Family', u'Built in 1965', u'All time views: 1,139', u'Last sold: Dec 2015 for $48,000', u'Last sale price/sqft: $46', u'Attic', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, Garage - Detached, 4 spaces', u'Wired Garage/Workshop', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Laundry room', u'Workshop', u'Exterior material: Brick, Shingle, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,038 sqft', u'Last remodel year: 1975', u'Laundry: In Unit', u'Parcel #: 379321053200', u'Zillow Home ID: 68694622']	http://photos3.zillowstatic.com/p_e/IS5uicj410irle0000000000.jpg	48000.0	[]	1038.0	NC	52131.0	27852	68694622
2.0	4	Macclesfield	[u'Lot: 0.89 acres', u'Single Family', u'Built in 2001', u'All time views: 511', u'Heating: Forced air', u'Last sold: Jul 2015 for $28,000', u'Last sale price/sqft: $14', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Garage: None-Garage', u'Basement: Crawlspace', u'Rooms: Living Room', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Appliances: None', u'County: Edgecombe', u'Construction: Siding-Vinyl', u'Heating-Dn: None Up', u'Garage: None-Carport', u'Fuel-Dn: None-Up', u'A: None-Up', u'Miscellaneous: County', u'Garden Tub', u'Water: County Water', u'Ownership: Bank Owned', u'Electricity: Other Electricity-See Remarks', u'Dirt Drive', u'Type: Mobile Home Double', u'Dining room', u'Walk-in closet', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,052 sqft', u'Last remodel year: 2001', u'Parcel #: 470156597500', u'Zillow Home ID: 68687318']	http://photos1.zillowstatic.com/p_e/ISx78z1y0w7v6t1000000000.jpg	28000.0	[]	2052.0	NC	71406.0	27852	68687318
3.0	3	Macclesfield	[u'Baths: 2 full, 1 half', u'Lot: 10,018 sqft', u'Single Family', u'Built in 1950', u'All time views: 4,237', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $100,100', u'Last sale price/sqft: $63', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: Off street, On street', u'Porch', u'Almost everything in this home is new.  Move in condition!', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 1,600 sqft', u'Last remodel year: 2012', u'Parcel #: 379340977600', u'Zillow Home ID: 68679341']	http://photos2.zillowstatic.com/p_e/IS1z74sgiqzubc0000000000.jpg	100100.0	[]	1600.0	NC	58109.0	27852	68679341
2.0	3	Macclesfield	[u'Lot: 0.98 acres', u'Single Family', u'Built in 1999', u'All time views: 636', u'Cooling: Central, None', u'Heating: Heat pump', u'Last sold: May 2016 for $86,000', u'Last sale price/sqft: $53', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Hot Tub/Spa', u'Porch', u'Vaulted Ceiling', u'1st Floor Master', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Thermal Windows', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Laundry', u'Exterior Structures: Shed', u'Exterior Structures: Workshop', u'Attic: None', u'Smoke Detectors', u'Dry Connect', u'Gas Logs', u'Parking: Unpaved', u'Water: Municipal Water Available', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Dryer', u'Microwave', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,631 sqft', u'Last remodel year: 1999', u'Laundry: In Unit', u'Parcel #: 377367714600', u'Zillow Home ID: 68689192']	http://photos2.zillowstatic.com/p_e/IS17fn7o25qocdf.jpg	86000.0	[]	1631.0	NC	84638.0	27852	68689192
2.0	2	Macclesfield	[u'Single Family', u'Built in 1963', u'All time views: 2,377', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $47,000', u'Last sale price/sqft: $39', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Flooring: Hardwood, Tile', u'Lawn', u'Parking: Carport', u'Patio', u'Porch', u'Fuel Tank: Gas', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Water: Municipal Water', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Parking: Paved', u'Road Type: St)', u'Rooms: Bedroom 1', u'Fencing: Chain Link', u'Rooms: Bedroom 2', u'Rooms: Great Room', u'Rooms: Kitchen', u'Exterior Structures: Shed', u'Construction: Stone', u'Storm Windows', u'Smoke Detectors', u'Dry Connect', u'Fireplace: None', u'Attic: Access Only', u'Walk-In Closet', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,211 sqft', u'Heating: Gas', u'Zillow Home ID: 2099781155']	http://photos3.zillowstatic.com/p_e/ISl2wc0k8yla7m1000000000.jpg	47000.0	[]	1211.0	NC	55425.0	27852	2099781155
1.0	2	Macclesfield	[u'Lot: 1,224 sqft', u'Single Family', u'Built in 1968', u'All time views: 492', u'Last sold: Feb 2016 for $18,000', u'Last sale price/sqft: $18', u'Fireplace', u'Flooring: Hardwood', u'Porch', u'Type: One Story', u'Heating-Dn: Space Heater Down', u'Fuel-Dn: Gas-Down', u'A: None-Down', u'Water: City Sewer', u'Garage: None-Garage', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'None', u'Precautions: None Known', u'Property Status: Active', u'Property Type: Residential', u'Roof: Tin', u'Appliances: None', u'County: Edgecombe', u'Rooms: Master Bedroom 1st Level', u'Construction: Siding-Vinyl', u'Heating-Dn: None Up', u'Garage: None-Carport', u'Fuel-Dn: None-Up', u'A: None-Up', u'Miscellaneous: County', u'Ownership: Bank Owned', u'Electricity: Martin', u'Water: Community Water System', u'Subdivision: FOREST HILLS', u'Roof type: Composition', u'Stories: 0', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,025 sqft', u'Last remodel year: 1940', u'Parcel #: 379341962000', u'Zillow Home ID: 68696749']	http://photos3.zillowstatic.com/p_e/IStkzhzjsvgk981000000000.jpg	18000.0	[]	1025.0	NC	52186.0	27852	68696749
1.0	3	Macclesfield	[u'Single Family', u'Built in 1990', u'All time views: 1,344', u'Last sold: Dec 2015 for $65,000', u'Last sale price/sqft: $66', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'Security System', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Family room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 984 sqft', u'Last remodel year: 1990', u'Laundry: In Unit', u'Parcel #: 471384101200', u'Zillow Home ID: 112891784']	http://photos2.zillowstatic.com/p_e/ISt47x3inavvrd1000000000.jpg	65000.0	[]	984.0	NC	61674.0	27852	112891784
2.0	2	Macclesfield	[u'Single Family', u'Built in 1965', u'All time views: 1,141', u'Last sold: Dec 2015 for $48,000', u'Last sale price/sqft: $46', u'Attic', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, Garage - Detached, 4 spaces', u'Wired Garage/Workshop', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Laundry room', u'Workshop', u'Exterior material: Brick, Shingle, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,038 sqft', u'Last remodel year: 1975', u'Laundry: In Unit', u'Parcel #: 379321053200', u'Zillow Home ID: 68694622']	http://photos3.zillowstatic.com/p_e/IS5uicj410irle0000000000.jpg	48000.0	[]	1038.0	NC	52131.0	27852	68694622
2.0	4	Macclesfield	[u'Lot: 0.89 acres', u'Single Family', u'Built in 2001', u'All time views: 509', u'Heating: Forced air', u'Last sold: Jul 2015 for $28,000', u'Last sale price/sqft: $14', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Garage: None-Garage', u'Basement: Crawlspace', u'Rooms: Living Room', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Appliances: None', u'County: Edgecombe', u'Construction: Siding-Vinyl', u'Heating-Dn: None Up', u'Garage: None-Carport', u'Fuel-Dn: None-Up', u'A: None-Up', u'Miscellaneous: County', u'Garden Tub', u'Water: County Water', u'Ownership: Bank Owned', u'Electricity: Other Electricity-See Remarks', u'Dirt Drive', u'Type: Mobile Home Double', u'Dining room', u'Walk-in closet', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,052 sqft', u'Last remodel year: 2001', u'Parcel #: 470156597500', u'Zillow Home ID: 68687318']	http://photos1.zillowstatic.com/p_e/ISx78z1y0w7v6t1000000000.jpg	28000.0	[]	2052.0	NC	71406.0	27852	68687318
3.0	3	Macclesfield	[u'Baths: 2 full, 1 half', u'Lot: 10,018 sqft', u'Single Family', u'Built in 1950', u'All time views: 4,236', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $100,100', u'Last sale price/sqft: $63', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: Off street, On street', u'Porch', u'Almost everything in this home is new.  Move in condition!', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 1,600 sqft', u'Last remodel year: 2012', u'Parcel #: 379340977600', u'Zillow Home ID: 68679341']	http://photos2.zillowstatic.com/p_e/IS1z74sgiqzubc0000000000.jpg	100100.0	[]	1600.0	NC	58109.0	27852	68679341
2.0	3	Macclesfield	[u'Lot: 0.98 acres', u'Single Family', u'Built in 1999', u'All time views: 633', u'Cooling: Central, None', u'Heating: Heat pump', u'Last sold: May 2016 for $86,000', u'Last sale price/sqft: $53', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Hot Tub/Spa', u'Porch', u'Vaulted Ceiling', u'1st Floor Master', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Thermal Windows', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Laundry', u'Exterior Structures: Shed', u'Exterior Structures: Workshop', u'Attic: None', u'Smoke Detectors', u'Dry Connect', u'Gas Logs', u'Parking: Unpaved', u'Water: Municipal Water Available', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Dryer', u'Microwave', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,631 sqft', u'Last remodel year: 1999', u'Laundry: In Unit', u'Parcel #: 377367714600', u'Zillow Home ID: 68689192']	http://photos2.zillowstatic.com/p_e/IS17fn7o25qocdf.jpg	86000.0	[]	1631.0	NC	84638.0	27852	68689192
2.0	2	Macclesfield	[u'Single Family', u'Built in 1963', u'All time views: 2,386', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $47,000', u'Last sale price/sqft: $39', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Flooring: Hardwood, Tile', u'Lawn', u'Parking: Carport', u'Patio', u'Porch', u'Fuel Tank: Gas', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Water: Municipal Water', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Parking: Paved', u'Road Type: St)', u'Rooms: Bedroom 1', u'Fencing: Chain Link', u'Rooms: Bedroom 2', u'Rooms: Great Room', u'Rooms: Kitchen', u'Exterior Structures: Shed', u'Construction: Stone', u'Storm Windows', u'Smoke Detectors', u'Dry Connect', u'Fireplace: None', u'Attic: Access Only', u'Walk-In Closet', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,211 sqft', u'Heating: Gas', u'Zillow Home ID: 2099781155']	http://photos3.zillowstatic.com/p_e/ISl2wc0k8yla7m1000000000.jpg	47000.0	[]	1211.0	NC	55425.0	27852	2099781155
1.0	2	Macclesfield	[u'Lot: 1,224 sqft', u'Single Family', u'Built in 1968', u'All time views: 502', u'Last sold: Feb 2016 for $18,000', u'Last sale price/sqft: $18', u'Fireplace', u'Flooring: Hardwood', u'Porch', u'Type: One Story', u'Heating-Dn: Space Heater Down', u'Fuel-Dn: Gas-Down', u'A: None-Down', u'Water: City Sewer', u'Garage: None-Garage', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'None', u'Precautions: None Known', u'Property Status: Active', u'Property Type: Residential', u'Roof: Tin', u'Appliances: None', u'County: Edgecombe', u'Rooms: Master Bedroom 1st Level', u'Construction: Siding-Vinyl', u'Heating-Dn: None Up', u'Garage: None-Carport', u'Fuel-Dn: None-Up', u'A: None-Up', u'Miscellaneous: County', u'Ownership: Bank Owned', u'Electricity: Martin', u'Water: Community Water System', u'Subdivision: FOREST HILLS', u'Roof type: Composition', u'Stories: 0', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,025 sqft', u'Last remodel year: 1940', u'Parcel #: 379341962000', u'Zillow Home ID: 68696749']	http://photos3.zillowstatic.com/p_e/IStkzhzjsvgk981000000000.jpg	18000.0	[]	1025.0	NC	52186.0	27852	68696749
1.0	3	Macclesfield	[u'Single Family', u'Built in 1990', u'All time views: 1,354', u'Last sold: Dec 2015 for $65,000', u'Last sale price/sqft: $66', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'Security System', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Family room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 984 sqft', u'Last remodel year: 1990', u'Laundry: In Unit', u'Parcel #: 471384101200', u'Zillow Home ID: 112891784']	http://photos2.zillowstatic.com/p_e/ISt47x3inavvrd1000000000.jpg	65000.0	[]	984.0	NC	61674.0	27852	112891784
2.0	2	Macclesfield	[u'Single Family', u'Built in 1965', u'All time views: 1,137', u'Last sold: Dec 2015 for $48,000', u'Last sale price/sqft: $46', u'Attic', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, Garage - Detached, 4 spaces', u'Wired Garage/Workshop', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Laundry room', u'Workshop', u'Exterior material: Brick, Shingle, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,038 sqft', u'Last remodel year: 1975', u'Laundry: In Unit', u'Parcel #: 379321053200', u'Zillow Home ID: 68694622']	http://photos3.zillowstatic.com/p_e/IS5uicj410irle0000000000.jpg	48000.0	[]	1038.0	NC	52131.0	27852	68694622
2.0	4	Macclesfield	[u'Lot: 0.89 acres', u'Single Family', u'Built in 2001', u'All time views: 513', u'Heating: Forced air', u'Last sold: Jul 2015 for $28,000', u'Last sale price/sqft: $14', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Garage: None-Garage', u'Basement: Crawlspace', u'Rooms: Living Room', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Appliances: None', u'County: Edgecombe', u'Construction: Siding-Vinyl', u'Heating-Dn: None Up', u'Garage: None-Carport', u'Fuel-Dn: None-Up', u'A: None-Up', u'Miscellaneous: County', u'Garden Tub', u'Water: County Water', u'Ownership: Bank Owned', u'Electricity: Other Electricity-See Remarks', u'Dirt Drive', u'Type: Mobile Home Double', u'Dining room', u'Walk-in closet', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,052 sqft', u'Last remodel year: 2001', u'Parcel #: 470156597500', u'Zillow Home ID: 68687318']	http://photos1.zillowstatic.com/p_e/ISx78z1y0w7v6t1000000000.jpg	28000.0	[]	2052.0	NC	71406.0	27852	68687318
3.0	3	Macclesfield	[u'Baths: 2 full, 1 half', u'Lot: 10,018 sqft', u'Single Family', u'Built in 1950', u'All time views: 4,239', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $100,100', u'Last sale price/sqft: $63', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: Off street, On street', u'Porch', u'Almost everything in this home is new.  Move in condition!', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 1,600 sqft', u'Last remodel year: 2012', u'Parcel #: 379340977600', u'Zillow Home ID: 68679341']	http://photos2.zillowstatic.com/p_e/IS1z74sgiqzubc0000000000.jpg	100100.0	[]	1600.0	NC	58109.0	27852	68679341
