baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Cedar Grove	[u'Baths: 1 full, 1 half', u'Lot: 0.57 acres', u'Single Family', u'Built in 1966', u'All time views: 2,842', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $76,100', u'Last sale price/sqft: $55', u'Flooring: Carpet', u'Parking: Carport', u'A: Central Air', u'Basement Description: No Basement', u'Shower', u'Design: One Story', u'Foundation: Crawl Space', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'HO Fees Include: HO Fees Include None', u'Dining: Eat-in Kitchen', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Special Conditions: Req Lndr Appr', u'Out Building', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: .51-.75 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Refrigerator', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Unit count: 2', u'Floor size: 1,390 sqft', u'Heating: Gas', u'Parcel #: 9839543844', u'Zillow Home ID: 50044139']	http://photos2.zillowstatic.com/p_e/IS-ixznmisz1zkt.jpg	76100.0	[]	1390.0	NC	92922.0	27231	50044139
2.0	3	Cedar Grove	[u'Lot: 6.63 acres', u'Single Family', u'Built in 1993', u'All time views: 1,628', u'Cooling: Central', u'Last sold: Feb 2016 for $300,000', u'Last sale price/sqft: $170', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood', u'Garden', u'Lawn', u'Parking: Off street', u'Porch', u'A: Central Air', u'Dining: Separate Dining Room', u'Equipment: Dishwasher', u'Flooring: Carpet', u'Flooring: Hardwood', u'Foundation: Crawl Space', u'Heating: Heat Pump', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: 1st Floor', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Water: Well', u'Water Heater: Gas', u'Design: 2 Story', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Equipment: Gas Range', u'Dining: Breakfast Room', u'Horses Allowed', u'Roof: 25 Year Warranty', u'Style: Farm House', u'Exterior Finish: Cedar', u'Fuel Heat: Gas LP', u'Lot Description: Pasture', u'Lot Description: Private Rd', u'Lot Description: Private Rd Main. Agree', u'Private', u'Country: USA', u'Acres: 6-10.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,766 sqft', u'Heating: Gas', u'Parcel #: 9848832419', u'Zillow Home ID: 67916194']	http://photos2.zillowstatic.com/p_e/ISdg1owkvmlnaq1000000000.jpg	300000.0	[]	1766.0	NC	246332.0	27231	67916194
2.0	3	Cedar Grove	[u'Lot: 5.44 acres', u'Single Family', u'Built in 1997', u'All time views: 5,085', u'Last sold: Dec 2015 for $175,000', u'Last sale price/sqft: $59', u'Deck', u'Fireplace', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 7', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,990 sqft', u'Parcel #: 9858797019', u'Zillow Home ID: 88950353']	http://photos3.zillowstatic.com/p_e/IS56oo1nlpfe9q1000000000.jpg	175000.0	[]	2990.0	NC	299759.0	27231	88950353
2.0	3	Cedar Grove	[u'Lot: 1.93 acres', u'Single Family', u'Built in 2007', u'All time views: 2,839', u'Last sold: Dec 2015 for $236,500', u'Last sale price/sqft: $117', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Hot Tub/Spa', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 620 sqft garage', u'Pool', u'Porch', u'Security System', u'Wet Bar', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Mud room', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,015 sqft', u'Laundry: In Unit', u'Parcel #: 9847243694', u'Zillow Home ID: 88944198']	http://photos3.zillowstatic.com/p_e/IS99ddtrzf30ic1000000000.jpg	236500.0	[]	2015.0	NC	239615.0	27231	88944198
2.5	3	Cedar Grove	[u'Lot: 6.59 acres', u'Single Family', u'Built in 1975', u'All time views: 1,379', u'Last sold: Dec 2015 for $190,000', u'Last sale price/sqft: $123', u'Deck', u'Fireplace', u'Exterior material: Brick', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,540 sqft', u'Parcel #: 9859646372', u'Zillow Home ID: 50045475']	http://photos1.zillowstatic.com/p_e/ISp5hmtwg15yed1000000000.jpg	190000.0	[]	1540.0	NC	184634.0	27231	50045475
2.0	3	Cedar Grove	[u'Lot: 1.58 acres', u'Single Family', u'Built in 1986', u'All time views: 4,933', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2015 for $349,000', u'Last sale price/sqft: $176', u'Ceiling Fan', u'Deck', u'Dock', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, Off street, 2 spaces, 576 sqft garage', u'Pool', u'Porch', u'Security System', u'Unfinished basement', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Salt Water Pool', u'Boat Dock', u'Boating', u'Water Skiing', u'Swimming', u'Fishing', u'Fenced Garden', u'Professionally Landscaped Yard', u'Vinyl Windows', u'Vaulted Ceilings', u'Lake Frontage', u'Hardwood Flooring', u'Screened Porch', u'2 Car Garage.', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Mud room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,987 sqft', u'Heating: Propane butane', u'Laundry: In Unit', u'Parcel #: 9857552745', u'Zillow Home ID: 50045347']	http://photos2.zillowstatic.com/p_e/ISts5g0rfxhtfj0000000000.jpg	349000.0	[]	1987.0	NC	330071.0	27231	50045347
2.0	2	Cedar Grove	[u'Lot: 3 acres', u'Single Family', u'Built in 1994', u'All time views: 772', u'Last sold: Oct 2015 for $149,000', u'Last sale price/sqft: $94', u'Deck', u'Fireplace', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 4', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,579 sqft', u'Parcel #: 9858561370', u'Zillow Home ID: 88946475']	http://photos3.zillowstatic.com/p_e/ISx7sqcs3l7mg71000000000.jpg	149000.0	[]	1579.0	NC	150473.0	27231	88946475
2.5	3	Cedar Grove	[u'Baths: 2 full, 1 half', u'Lot: 2 acres', u'Single Family', u'Built in 1993', u'All time views: 5,595', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Aug 2015 for $209,600', u'Last sale price/sqft: $91', u'Ceiling Fan', u'Fireplace', u'Flooring: Tile', u'Lawn', u'Patio', u'Security System', u'Granite countertop', u'Living room', u'Stainless steel appliances', u'Dishwasher', u'Microwave', u'Range / Oven', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,300 sqft', u'Laundry: In Unit', u'Parcel #: 9857664948', u'Zillow Home ID: 88955274']	http://photos3.zillowstatic.com/p_e/ISxbj6aju09jjp0000000000.jpg	209600.0	[]	2300.0	NC	282578.0	27231	88955274
3.0	3	Cedar Grove	[u'Lot: 2.17 acres', u'Single Family', u'Built in 1900', u'All time views: 7,771', u'Cooling: Central', u'Heating: Baseboard, Forced air, Heat pump', u'Last sold: Jun 2016 for $111,000', u'Last sale price/sqft: $56', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Carport, 1 space', u'A: Central Air', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Design: 2 Story', u'Exterior Finish: Aluminum', u'Subdivision: Not in a Subdivision', u'Style: Farm House', u'Acres: 1-2.9 Acres', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Master bath', u'Office', u'Pantry', u'Sun room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 0', u'Structure type: Other', u'Unit count: 2', u'Floor size: 2,000 sqft', u'Heating: Electric, Other', u'Laundry: In Unit', u'Parcel #: 9858007924', u'Zillow Home ID: 50045393']	http://photos3.zillowstatic.com/p_e/IShv7ajxmb6fxf1000000000.jpg	111000.0	[]	2000.0	NC	136893.0	27231	50045393
2.0	3	Cedar Grove	[u'Lot: 1.19 acres', u'Single Family', u'Built in 2004', u'All time views: 420', u'Last sold: May 2016 for $325,000', u'Last sale price/sqft: $170', u'Deck', u'Fireplace', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Floor size: 1,917 sqft', u'Parcel #: 9857551580', u'Zillow Home ID: 65059821']	http://photos1.zillowstatic.com/p_e/IS14gcvqn67yvfn.jpg	325000.0	[]	1917.0	NC	311237.0	27231	65059821
2.0	2	Cedar Grove	[u'Lot: 9 acres', u'Single Family', u'Built in 1931', u'All time views: 842', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $120,000', u'Last sale price/sqft: $140', u'Deck', u'Flooring: Laminate, Linoleum / Vinyl', u'A: Central Air', u'Basement Description: No Basement', u'Shower', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Design: 2 Story', u'Utility Room Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Utility Room', u'Dining: Eat-in Kitchen', u'Lvng Area: Main', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Roof: Tin', u'Other Rooms: Walk In Pantry', u'Other Rooms: Sun Room', u'Attic Description: Walk In', u'Fireplace Description: No Fireplace', u'Country: USA', u'Pantry', u'Acres: 6-10.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dryer', u'Washer', u'Exterior material: Vinyl', u'Stories: 0', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 860 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 9950425629', u'Zillow Home ID: 50052969']	http://photos2.zillowstatic.com/p_e/IShzm8707o7qh01000000000.jpg	120000.0	[]	860.0	NC	111801.0	27231	50052969
2.0	3	Cedar Grove	[u'Baths: 1 full, 1 half', u'Lot: 0.57 acres', u'Single Family', u'Built in 1966', u'All time views: 2,844', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $76,100', u'Last sale price/sqft: $55', u'Flooring: Carpet', u'Parking: Carport', u'A: Central Air', u'Basement Description: No Basement', u'Shower', u'Design: One Story', u'Foundation: Crawl Space', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'HO Fees Include: HO Fees Include None', u'Dining: Eat-in Kitchen', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Special Conditions: Req Lndr Appr', u'Out Building', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: .51-.75 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Refrigerator', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Unit count: 2', u'Floor size: 1,390 sqft', u'Heating: Gas', u'Parcel #: 9839543844', u'Zillow Home ID: 50044139']	http://photos2.zillowstatic.com/p_e/IS-ixznmisz1zkt.jpg	76100.0	[]	1390.0	NC	92922.0	27231	50044139
2.0	3	Cedar Grove	[u'Lot: 6.63 acres', u'Single Family', u'Built in 1993', u'All time views: 1,625', u'Cooling: Central', u'Last sold: Feb 2016 for $300,000', u'Last sale price/sqft: $170', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood', u'Garden', u'Lawn', u'Parking: Off street', u'Porch', u'A: Central Air', u'Dining: Separate Dining Room', u'Equipment: Dishwasher', u'Flooring: Carpet', u'Flooring: Hardwood', u'Foundation: Crawl Space', u'Heating: Heat Pump', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: 1st Floor', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Water: Well', u'Water Heater: Gas', u'Design: 2 Story', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Equipment: Gas Range', u'Dining: Breakfast Room', u'Horses Allowed', u'Roof: 25 Year Warranty', u'Style: Farm House', u'Exterior Finish: Cedar', u'Fuel Heat: Gas LP', u'Lot Description: Pasture', u'Lot Description: Private Rd', u'Lot Description: Private Rd Main. Agree', u'Private', u'Country: USA', u'Acres: 6-10.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,766 sqft', u'Heating: Gas', u'Parcel #: 9848832419', u'Zillow Home ID: 67916194']	http://photos2.zillowstatic.com/p_e/ISdg1owkvmlnaq1000000000.jpg	300000.0	[]	1766.0	NC	246332.0	27231	67916194
2.0	3	Cedar Grove	[u'Lot: 5.44 acres', u'Single Family', u'Built in 1997', u'All time views: 5,086', u'Last sold: Dec 2015 for $175,000', u'Last sale price/sqft: $59', u'Deck', u'Fireplace', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 7', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,990 sqft', u'Parcel #: 9858797019', u'Zillow Home ID: 88950353']	http://photos3.zillowstatic.com/p_e/IS56oo1nlpfe9q1000000000.jpg	175000.0	[]	2990.0	NC	299759.0	27231	88950353
2.0	3	Cedar Grove	[u'Lot: 1.93 acres', u'Single Family', u'Built in 2007', u'All time views: 2,837', u'Last sold: Dec 2015 for $236,500', u'Last sale price/sqft: $117', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Hot Tub/Spa', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 620 sqft garage', u'Pool', u'Porch', u'Security System', u'Wet Bar', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Mud room', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,015 sqft', u'Laundry: In Unit', u'Parcel #: 9847243694', u'Zillow Home ID: 88944198']	http://photos3.zillowstatic.com/p_e/IS99ddtrzf30ic1000000000.jpg	236500.0	[]	2015.0	NC	239615.0	27231	88944198
2.5	3	Cedar Grove	[u'Lot: 6.59 acres', u'Single Family', u'Built in 1975', u'All time views: 1,378', u'Last sold: Dec 2015 for $190,000', u'Last sale price/sqft: $123', u'Deck', u'Fireplace', u'Exterior material: Brick', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,540 sqft', u'Parcel #: 9859646372', u'Zillow Home ID: 50045475']	http://photos1.zillowstatic.com/p_e/ISp5hmtwg15yed1000000000.jpg	190000.0	[]	1540.0	NC	184634.0	27231	50045475
2.0	3	Cedar Grove	[u'Lot: 1.58 acres', u'Single Family', u'Built in 1986', u'All time views: 4,929', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2015 for $349,000', u'Last sale price/sqft: $176', u'Ceiling Fan', u'Deck', u'Dock', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, Off street, 2 spaces, 576 sqft garage', u'Pool', u'Porch', u'Security System', u'Unfinished basement', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Salt Water Pool', u'Boat Dock', u'Boating', u'Water Skiing', u'Swimming', u'Fishing', u'Fenced Garden', u'Professionally Landscaped Yard', u'Vinyl Windows', u'Vaulted Ceilings', u'Lake Frontage', u'Hardwood Flooring', u'Screened Porch', u'2 Car Garage.', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Mud room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,987 sqft', u'Heating: Propane butane', u'Laundry: In Unit', u'Parcel #: 9857552745', u'Zillow Home ID: 50045347']	http://photos2.zillowstatic.com/p_e/ISts5g0rfxhtfj0000000000.jpg	349000.0	[]	1987.0	NC	330071.0	27231	50045347
2.0	2	Cedar Grove	[u'Lot: 3 acres', u'Single Family', u'Built in 1994', u'All time views: 770', u'Last sold: Oct 2015 for $149,000', u'Last sale price/sqft: $94', u'Deck', u'Fireplace', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 4', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,579 sqft', u'Parcel #: 9858561370', u'Zillow Home ID: 88946475']	http://photos3.zillowstatic.com/p_e/ISx7sqcs3l7mg71000000000.jpg	149000.0	[]	1579.0	NC	150473.0	27231	88946475
2.5	3	Cedar Grove	[u'Baths: 2 full, 1 half', u'Lot: 2 acres', u'Single Family', u'Built in 1993', u'All time views: 5,592', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Aug 2015 for $209,600', u'Last sale price/sqft: $91', u'Ceiling Fan', u'Fireplace', u'Flooring: Tile', u'Lawn', u'Patio', u'Security System', u'Granite countertop', u'Living room', u'Stainless steel appliances', u'Dishwasher', u'Microwave', u'Range / Oven', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,300 sqft', u'Laundry: In Unit', u'Parcel #: 9857664948', u'Zillow Home ID: 88955274']	http://photos3.zillowstatic.com/p_e/ISxbj6aju09jjp0000000000.jpg	209600.0	[]	2300.0	NC	282578.0	27231	88955274
3.0	3	Cedar Grove	[u'Lot: 2.17 acres', u'Single Family', u'Built in 1900', u'All time views: 7,772', u'Cooling: Central', u'Heating: Baseboard, Forced air, Heat pump', u'Last sold: Jun 2016 for $111,000', u'Last sale price/sqft: $56', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Carport, 1 space', u'A: Central Air', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Design: 2 Story', u'Exterior Finish: Aluminum', u'Subdivision: Not in a Subdivision', u'Style: Farm House', u'Acres: 1-2.9 Acres', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Master bath', u'Office', u'Pantry', u'Sun room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 0', u'Structure type: Other', u'Unit count: 2', u'Floor size: 2,000 sqft', u'Heating: Electric, Other', u'Laundry: In Unit', u'Parcel #: 9858007924', u'Zillow Home ID: 50045393']	http://photos3.zillowstatic.com/p_e/IShv7ajxmb6fxf1000000000.jpg	111000.0	[]	2000.0	NC	136893.0	27231	50045393
2.0	3	Cedar Grove	[u'Lot: 1.19 acres', u'Single Family', u'Built in 2004', u'All time views: 419', u'Last sold: May 2016 for $325,000', u'Last sale price/sqft: $170', u'Deck', u'Fireplace', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Floor size: 1,917 sqft', u'Parcel #: 9857551580', u'Zillow Home ID: 65059821']	http://photos1.zillowstatic.com/p_e/IS14gcvqn67yvfn.jpg	325000.0	[]	1917.0	NC	311237.0	27231	65059821
2.0	2	Cedar Grove	[u'Lot: 9 acres', u'Single Family', u'Built in 1931', u'All time views: 844', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $120,000', u'Last sale price/sqft: $140', u'Deck', u'Flooring: Laminate, Linoleum / Vinyl', u'A: Central Air', u'Basement Description: No Basement', u'Shower', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Design: 2 Story', u'Utility Room Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Utility Room', u'Dining: Eat-in Kitchen', u'Lvng Area: Main', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Roof: Tin', u'Other Rooms: Walk In Pantry', u'Other Rooms: Sun Room', u'Attic Description: Walk In', u'Fireplace Description: No Fireplace', u'Country: USA', u'Pantry', u'Acres: 6-10.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dryer', u'Washer', u'Exterior material: Vinyl', u'Stories: 0', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 860 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 9950425629', u'Zillow Home ID: 50052969']	http://photos2.zillowstatic.com/p_e/IShzm8707o7qh01000000000.jpg	120000.0	[]	860.0	NC	111801.0	27231	50052969
2.0	3	Cedar Grove	[u'Baths: 1 full, 1 half', u'Lot: 0.57 acres', u'Single Family', u'Built in 1966', u'All time views: 2,843', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $76,100', u'Last sale price/sqft: $55', u'Flooring: Carpet', u'Parking: Carport', u'A: Central Air', u'Basement Description: No Basement', u'Shower', u'Design: One Story', u'Foundation: Crawl Space', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'HO Fees Include: HO Fees Include None', u'Dining: Eat-in Kitchen', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Special Conditions: Req Lndr Appr', u'Out Building', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: .51-.75 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Refrigerator', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Unit count: 2', u'Floor size: 1,390 sqft', u'Heating: Gas', u'Parcel #: 9839543844', u'Zillow Home ID: 50044139']	http://photos2.zillowstatic.com/p_e/IS-ixznmisz1zkt.jpg	76100.0	[]	1390.0	NC	92922.0	27231	50044139
2.0	3	Cedar Grove	[u'Lot: 6.63 acres', u'Single Family', u'Built in 1993', u'All time views: 1,627', u'Cooling: Central', u'Last sold: Feb 2016 for $300,000', u'Last sale price/sqft: $170', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood', u'Garden', u'Lawn', u'Parking: Off street', u'Porch', u'A: Central Air', u'Dining: Separate Dining Room', u'Equipment: Dishwasher', u'Flooring: Carpet', u'Flooring: Hardwood', u'Foundation: Crawl Space', u'Heating: Heat Pump', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: 1st Floor', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Water: Well', u'Water Heater: Gas', u'Design: 2 Story', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Equipment: Gas Range', u'Dining: Breakfast Room', u'Horses Allowed', u'Roof: 25 Year Warranty', u'Style: Farm House', u'Exterior Finish: Cedar', u'Fuel Heat: Gas LP', u'Lot Description: Pasture', u'Lot Description: Private Rd', u'Lot Description: Private Rd Main. Agree', u'Private', u'Country: USA', u'Acres: 6-10.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,766 sqft', u'Heating: Gas', u'Parcel #: 9848832419', u'Zillow Home ID: 67916194']	http://photos2.zillowstatic.com/p_e/ISdg1owkvmlnaq1000000000.jpg	300000.0	[]	1766.0	NC	246332.0	27231	67916194
2.0	3	Cedar Grove	[u'Lot: 5.44 acres', u'Single Family', u'Built in 1997', u'All time views: 5,084', u'Last sold: Dec 2015 for $175,000', u'Last sale price/sqft: $59', u'Deck', u'Fireplace', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 7', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,990 sqft', u'Parcel #: 9858797019', u'Zillow Home ID: 88950353']	http://photos3.zillowstatic.com/p_e/IS56oo1nlpfe9q1000000000.jpg	175000.0	[]	2990.0	NC	299759.0	27231	88950353
2.0	3	Cedar Grove	[u'Lot: 1.93 acres', u'Single Family', u'Built in 2007', u'All time views: 2,836', u'Last sold: Dec 2015 for $236,500', u'Last sale price/sqft: $117', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Hot Tub/Spa', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 620 sqft garage', u'Pool', u'Porch', u'Security System', u'Wet Bar', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Mud room', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,015 sqft', u'Laundry: In Unit', u'Parcel #: 9847243694', u'Zillow Home ID: 88944198']	http://photos3.zillowstatic.com/p_e/IS99ddtrzf30ic1000000000.jpg	236500.0	[]	2015.0	NC	239615.0	27231	88944198
