baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Hamilton	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1953', u'All time views: 569', u'Cooling: Central', u'Last sold: Jan 2016 for $76,000', u'Last sale price/sqft: $28', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Attic: Partially Floored', u'BasementAndFoundation: Crawl Space', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'MiscSearch1: Bedroom 1st Floor', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Pull Down Stairs', u'Storage Building', u'MiscSearch1: Library', u'Appliances: Hood', u'Open Foyer', u'Fencing: Chain Link', u'DiningAndLiving: Formal Living', u'MiscSearch1: Sump Pump', u'Tile back splash', u'Tile shower', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,744 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0900464', u'Zillow Home ID: 124625940']	http://photos1.zillowstatic.com/p_e/IS1v8287i70fiq1000000000.jpg	76000.0	[]	2744.0	NC	94345.0	27840	124625940
3.0	4	Hamilton	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1953', u'All time views: 577', u'Cooling: Central', u'Last sold: Jan 2016 for $76,000', u'Last sale price/sqft: $28', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Attic: Partially Floored', u'BasementAndFoundation: Crawl Space', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'MiscSearch1: Bedroom 1st Floor', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Pull Down Stairs', u'Storage Building', u'MiscSearch1: Library', u'Appliances: Hood', u'Open Foyer', u'Fencing: Chain Link', u'DiningAndLiving: Formal Living', u'MiscSearch1: Sump Pump', u'Tile back splash', u'Tile shower', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,744 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0900464', u'Zillow Home ID: 124625940']	http://photos1.zillowstatic.com/p_e/IS1v8287i70fiq1000000000.jpg	76000.0	[]	2744.0	NC	94345.0	27840	124625940
3.0	4	Hamilton	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1953', u'All time views: 571', u'Cooling: Central', u'Last sold: Jan 2016 for $76,000', u'Last sale price/sqft: $28', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Attic: Partially Floored', u'BasementAndFoundation: Crawl Space', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'MiscSearch1: Bedroom 1st Floor', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Pull Down Stairs', u'Storage Building', u'MiscSearch1: Library', u'Appliances: Hood', u'Open Foyer', u'Fencing: Chain Link', u'DiningAndLiving: Formal Living', u'MiscSearch1: Sump Pump', u'Tile back splash', u'Tile shower', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,744 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0900464', u'Zillow Home ID: 124625940']	http://photos1.zillowstatic.com/p_e/IS1v8287i70fiq1000000000.jpg	76000.0	[]	2744.0	NC	94345.0	27840	124625940
3.0	4	Hamilton	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1953', u'All time views: 583', u'Cooling: Central', u'Last sold: Jan 2016 for $76,000', u'Last sale price/sqft: $28', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Attic: Partially Floored', u'BasementAndFoundation: Crawl Space', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'MiscSearch1: Bedroom 1st Floor', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Pull Down Stairs', u'Storage Building', u'MiscSearch1: Library', u'Appliances: Hood', u'Open Foyer', u'Fencing: Chain Link', u'DiningAndLiving: Formal Living', u'MiscSearch1: Sump Pump', u'Tile back splash', u'Tile shower', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,744 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0900464', u'Zillow Home ID: 124625940']	http://photos1.zillowstatic.com/p_e/IS1v8287i70fiq1000000000.jpg	76000.0	[]	2744.0	NC	94345.0	27840	124625940
3.0	4	Hamilton	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1953', u'All time views: 580', u'Cooling: Central', u'Last sold: Jan 2016 for $76,000', u'Last sale price/sqft: $28', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Attic: Partially Floored', u'BasementAndFoundation: Crawl Space', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'MiscSearch1: Bedroom 1st Floor', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Pull Down Stairs', u'Storage Building', u'MiscSearch1: Library', u'Appliances: Hood', u'Open Foyer', u'Fencing: Chain Link', u'DiningAndLiving: Formal Living', u'MiscSearch1: Sump Pump', u'Tile back splash', u'Tile shower', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,744 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0900464', u'Zillow Home ID: 124625940']	http://photos1.zillowstatic.com/p_e/IS1v8287i70fiq1000000000.jpg	76000.0	[]	2744.0	NC	94345.0	27840	124625940
3.0	4	Hamilton	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1953', u'All time views: 584', u'Cooling: Central', u'Last sold: Jan 2016 for $76,000', u'Last sale price/sqft: $28', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Attic: Partially Floored', u'BasementAndFoundation: Crawl Space', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'MiscSearch1: Bedroom 1st Floor', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Pull Down Stairs', u'Storage Building', u'MiscSearch1: Library', u'Appliances: Hood', u'Open Foyer', u'Fencing: Chain Link', u'DiningAndLiving: Formal Living', u'MiscSearch1: Sump Pump', u'Tile back splash', u'Tile shower', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,744 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0900464', u'Zillow Home ID: 124625940']	http://photos1.zillowstatic.com/p_e/IS1v8287i70fiq1000000000.jpg	76000.0	[]	2744.0	NC	94345.0	27840	124625940
3.0	4	Hamilton	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1953', u'All time views: 572', u'Cooling: Central', u'Last sold: Jan 2016 for $76,000', u'Last sale price/sqft: $28', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Attic: Partially Floored', u'BasementAndFoundation: Crawl Space', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'MiscSearch1: Bedroom 1st Floor', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Pull Down Stairs', u'Storage Building', u'MiscSearch1: Library', u'Appliances: Hood', u'Open Foyer', u'Fencing: Chain Link', u'DiningAndLiving: Formal Living', u'MiscSearch1: Sump Pump', u'Tile back splash', u'Tile shower', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,744 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0900464', u'Zillow Home ID: 124625940']	http://photos1.zillowstatic.com/p_e/IS1v8287i70fiq1000000000.jpg	76000.0	[]	2744.0	NC	94345.0	27840	124625940
3.0	4	Hamilton	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1953', u'All time views: 588', u'Cooling: Central', u'Last sold: Jan 2016 for $76,000', u'Last sale price/sqft: $28', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Attic: Partially Floored', u'BasementAndFoundation: Crawl Space', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'MiscSearch1: Bedroom 1st Floor', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Pull Down Stairs', u'Storage Building', u'MiscSearch1: Library', u'Appliances: Hood', u'Open Foyer', u'Fencing: Chain Link', u'DiningAndLiving: Formal Living', u'MiscSearch1: Sump Pump', u'Tile back splash', u'Tile shower', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,744 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0900464', u'Zillow Home ID: 124625940']	http://photos1.zillowstatic.com/p_e/IS1v8287i70fiq1000000000.jpg	76000.0	[]	2744.0	NC	94345.0	27840	124625940
3.0	4	Hamilton	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1953', u'All time views: 585', u'Cooling: Central', u'Last sold: Jan 2016 for $76,000', u'Last sale price/sqft: $28', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Attic: Partially Floored', u'BasementAndFoundation: Crawl Space', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'MiscSearch1: Bedroom 1st Floor', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Pull Down Stairs', u'Storage Building', u'MiscSearch1: Library', u'Appliances: Hood', u'Open Foyer', u'Fencing: Chain Link', u'DiningAndLiving: Formal Living', u'MiscSearch1: Sump Pump', u'Tile back splash', u'Tile shower', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,744 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0900464', u'Zillow Home ID: 124625940']	http://photos1.zillowstatic.com/p_e/IS1v8287i70fiq1000000000.jpg	76000.0	[]	2744.0	NC	94345.0	27840	124625940
3.0	4	Hamilton	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1953', u'All time views: 570', u'Cooling: Central', u'Last sold: Jan 2016 for $76,000', u'Last sale price/sqft: $28', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Attic: Partially Floored', u'BasementAndFoundation: Crawl Space', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'MiscSearch1: Bedroom 1st Floor', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Pull Down Stairs', u'Storage Building', u'MiscSearch1: Library', u'Appliances: Hood', u'Open Foyer', u'Fencing: Chain Link', u'DiningAndLiving: Formal Living', u'MiscSearch1: Sump Pump', u'Tile back splash', u'Tile shower', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,744 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0900464', u'Zillow Home ID: 124625940']	http://photos1.zillowstatic.com/p_e/IS1v8287i70fiq1000000000.jpg	76000.0	[]	2744.0	NC	94345.0	27840	124625940
