baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	4	Ennice	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1957', u'All time views: 1,359', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: Dec 2014 for $134,000', u'Last sale price/sqft: $70', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Attached', u'Porch', u'Unfinished basement', u'View: Mountain', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Laundry room', u'Mud room', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,908 sqft', u'Heating: Gas, Propane butane', u'Parcel #: 4022991005', u'Zillow Home ID: 114781611']	http://photos1.zillowstatic.com/p_e/ISliku2ukgadbw1000000000.jpg	134000.0	[]	1908.0	NC	125245.0	28623	114781611
1.0	2	Ennice	[u'Lot: 0.57 acres', u'Single Family', u'Built in 1970', u'All time views: 661', u'Heating: Forced air', u'Last sold: Oct 2014 for $57,000', u'Last sale price/sqft: $53', u'Parking: Carport, 200 sqft garage', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,080 sqft', u'Parcel #: 4012414192', u'Zillow Home ID: 114781231']	http://photos1.zillowstatic.com/p_e/IS99ho8uxvzzz30000000000.jpg	57000.0	[]	1080.0	NC	85023.0	28623	114781231
1.0	3	Ennice	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1959', u'All time views: 773', u'Heating: Other', u'Last sold: Oct 2014 for $82,000', u'Last sale price/sqft: $70', u'Parking: Off street, 600 sqft garage', u'Exterior material: Brick', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,174 sqft', u'Heating: Other', u'Parcel #: 4021872130', u'Zillow Home ID: 114781525']	http://photos2.zillowstatic.com/p_e/IS133vc0ptoc6o1000000000.jpg	82000.0	[]	1174.0	NC	81842.0	28623	114781525
2.5	2	Ennice	[u'Lot: 6.37 acres', u'Single Family', u'Built in 2008', u'All time views: 813', u'Last sold: Aug 2014 for $230,000', u'Last sale price/sqft: $98', u'Fireplace', u'Parking: Carport, 400 sqft garage', u'Exterior material: Other', u'Room count: 6', u'Stories: 1.5', u'Structure type: Cape cod', u'Floor size: 2,346 sqft', u'Heating: Wood / pellet', u'Parcel #: 4021331324', u'Zillow Home ID: 114781416']	http://photos2.zillowstatic.com/p_e/IStgkfwiofun210000000000.jpg	230000.0	[]	2346.0	NC	302201.0	28623	114781416
2.0	3	Ennice	[u'Lot: 6.16 acres', u'Single Family', u'Built in 2004', u'All time views: 987', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2014 for $195,000', u'Last sale price/sqft: $66', u'Fireplace', u'Exterior material: Other', u'Room count: 4', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,965 sqft', u'Parcel #: 4032332438', u'Zillow Home ID: 114782020']	http://photos2.zillowstatic.com/p_e/IS13v823gwhlko0000000000.jpg	195000.0	[]	2965.0	NC	307987.0	28623	114782020
2.0	4	Ennice	[u'Lot: 3.84 acres', u'Single Family', u'Built in 2002', u'Last sold: Sep 2015 for $96,361', u'Last sale price/sqft: $45', u'Floor size: 2,128 sqft', u'Parcel #: 4021226739', u'Zillow Home ID: 114781402']	http://photos2.zillowstatic.com/p_e/ISto66qjpm5qcb0000000000.jpg	96361.0	[]	2128.0	NC	190725.0	28623	114781402
2.0	3	Ennice	[u'Lot: 0.65 acres', u'Single Family', u'Built in 1970', u'All time views: 917', u'Last sold: Sep 2015 for $75,000', u'Last sale price/sqft: $54', u'Floor size: 1,384 sqft', u'Parcel #: 4021636473', u'Zillow Home ID: 114781466']	http://photos2.zillowstatic.com/p_e/IS1n6jh9e23dlo0000000000.jpg	75000.0	[]	1384.0	NC	78731.0	28623	114781466
2.0	4	Ennice	[u'Lot: 4.02 acres', u'Single Family', u'Built in 2007', u'All time views: 484', u'Last sold: May 2015 for $118,000', u'Last sale price/sqft: $55', u'Floor size: 2,128 sqft', u'Parcel #: 4021223571', u'Zillow Home ID: 114781401']	http://photos3.zillowstatic.com/p_e/ISt0k8afkl1u9s1000000000.jpg	118000.0	[]	2128.0	NC	193854.0	28623	114781401
2.0	4	Ennice	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1957', u'All time views: 1,357', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: Dec 2014 for $134,000', u'Last sale price/sqft: $70', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Attached', u'Porch', u'Unfinished basement', u'View: Mountain', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Laundry room', u'Mud room', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,908 sqft', u'Heating: Gas, Propane butane', u'Parcel #: 4022991005', u'Zillow Home ID: 114781611']	http://photos1.zillowstatic.com/p_e/ISliku2ukgadbw1000000000.jpg	134000.0	[]	1908.0	NC	125245.0	28623	114781611
1.0	2	Ennice	[u'Lot: 0.57 acres', u'Single Family', u'Built in 1970', u'All time views: 659', u'Heating: Forced air', u'Last sold: Oct 2014 for $57,000', u'Last sale price/sqft: $53', u'Parking: Carport, 200 sqft garage', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,080 sqft', u'Parcel #: 4012414192', u'Zillow Home ID: 114781231']	http://photos1.zillowstatic.com/p_e/IS99ho8uxvzzz30000000000.jpg	57000.0	[]	1080.0	NC	85023.0	28623	114781231
1.0	3	Ennice	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1959', u'All time views: 770', u'Heating: Other', u'Last sold: Oct 2014 for $82,000', u'Last sale price/sqft: $70', u'Parking: Off street, 600 sqft garage', u'Exterior material: Brick', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,174 sqft', u'Heating: Other', u'Parcel #: 4021872130', u'Zillow Home ID: 114781525']	http://photos2.zillowstatic.com/p_e/IS133vc0ptoc6o1000000000.jpg	82000.0	[]	1174.0	NC	81842.0	28623	114781525
2.5	2	Ennice	[u'Lot: 6.37 acres', u'Single Family', u'Built in 2008', u'All time views: 809', u'Last sold: Aug 2014 for $230,000', u'Last sale price/sqft: $98', u'Fireplace', u'Parking: Carport, 400 sqft garage', u'Exterior material: Other', u'Room count: 6', u'Stories: 1.5', u'Structure type: Cape cod', u'Floor size: 2,346 sqft', u'Heating: Wood / pellet', u'Parcel #: 4021331324', u'Zillow Home ID: 114781416']	http://photos2.zillowstatic.com/p_e/IStgkfwiofun210000000000.jpg	230000.0	[]	2346.0	NC	302201.0	28623	114781416
2.0	3	Ennice	[u'Lot: 6.16 acres', u'Single Family', u'Built in 2004', u'All time views: 982', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2014 for $195,000', u'Last sale price/sqft: $66', u'Fireplace', u'Exterior material: Other', u'Room count: 4', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,965 sqft', u'Parcel #: 4032332438', u'Zillow Home ID: 114782020']	http://photos2.zillowstatic.com/p_e/IS13v823gwhlko0000000000.jpg	195000.0	[]	2965.0	NC	307987.0	28623	114782020
2.0	4	Ennice	[u'Lot: 3.84 acres', u'Single Family', u'Built in 2002', u'All time views: 2,404', u'Last sold: Sep 2015 for $96,361', u'Last sale price/sqft: $45', u'Floor size: 2,128 sqft', u'Parcel #: 4021226739', u'Zillow Home ID: 114781402']	http://photos2.zillowstatic.com/p_e/ISto66qjpm5qcb0000000000.jpg	96361.0	[]	2128.0	NC	190725.0	28623	114781402
2.0	3	Ennice	[u'Lot: 0.65 acres', u'Single Family', u'Built in 1970', u'All time views: 918', u'Last sold: Sep 2015 for $75,000', u'Last sale price/sqft: $54', u'Floor size: 1,384 sqft', u'Parcel #: 4021636473', u'Zillow Home ID: 114781466']	http://photos2.zillowstatic.com/p_e/IS1n6jh9e23dlo0000000000.jpg	75000.0	[]	1384.0	NC	78731.0	28623	114781466
2.0	4	Ennice	[u'Lot: 4.02 acres', u'Single Family', u'Built in 2007', u'All time views: 485', u'Last sold: May 2015 for $118,000', u'Last sale price/sqft: $55', u'Floor size: 2,128 sqft', u'Parcel #: 4021223571', u'Zillow Home ID: 114781401']	http://photos3.zillowstatic.com/p_e/ISt0k8afkl1u9s1000000000.jpg	118000.0	[]	2128.0	NC	193854.0	28623	114781401
2.0	4	Ennice	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1957', u'All time views: 1,358', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: Dec 2014 for $134,000', u'Last sale price/sqft: $70', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Attached', u'Porch', u'Unfinished basement', u'View: Mountain', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Laundry room', u'Mud room', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,908 sqft', u'Heating: Gas, Propane butane', u'Parcel #: 4022991005', u'Zillow Home ID: 114781611']	http://photos1.zillowstatic.com/p_e/ISliku2ukgadbw1000000000.jpg	134000.0	[]	1908.0	NC	125245.0	28623	114781611
1.0	2	Ennice	[u'Lot: 0.57 acres', u'Single Family', u'Built in 1970', u'All time views: 660', u'Heating: Forced air', u'Last sold: Oct 2014 for $57,000', u'Last sale price/sqft: $53', u'Parking: Carport, 200 sqft garage', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,080 sqft', u'Parcel #: 4012414192', u'Zillow Home ID: 114781231']	http://photos1.zillowstatic.com/p_e/IS99ho8uxvzzz30000000000.jpg	57000.0	[]	1080.0	NC	85023.0	28623	114781231
1.0	3	Ennice	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1959', u'All time views: 771', u'Heating: Other', u'Last sold: Oct 2014 for $82,000', u'Last sale price/sqft: $70', u'Parking: Off street, 600 sqft garage', u'Exterior material: Brick', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,174 sqft', u'Heating: Other', u'Parcel #: 4021872130', u'Zillow Home ID: 114781525']	http://photos2.zillowstatic.com/p_e/IS133vc0ptoc6o1000000000.jpg	82000.0	[]	1174.0	NC	81842.0	28623	114781525
2.5	2	Ennice	[u'Lot: 6.37 acres', u'Single Family', u'Built in 2008', u'All time views: 810', u'Last sold: Aug 2014 for $230,000', u'Last sale price/sqft: $98', u'Fireplace', u'Parking: Carport, 400 sqft garage', u'Exterior material: Other', u'Room count: 6', u'Stories: 1.5', u'Structure type: Cape cod', u'Floor size: 2,346 sqft', u'Heating: Wood / pellet', u'Parcel #: 4021331324', u'Zillow Home ID: 114781416']	http://photos2.zillowstatic.com/p_e/IStgkfwiofun210000000000.jpg	230000.0	[]	2346.0	NC	302201.0	28623	114781416
2.0	3	Ennice	[u'Lot: 6.16 acres', u'Single Family', u'Built in 2004', u'All time views: 983', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2014 for $195,000', u'Last sale price/sqft: $66', u'Fireplace', u'Exterior material: Other', u'Room count: 4', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,965 sqft', u'Parcel #: 4032332438', u'Zillow Home ID: 114782020']	http://photos2.zillowstatic.com/p_e/IS13v823gwhlko0000000000.jpg	195000.0	[]	2965.0	NC	307987.0	28623	114782020
2.0	4	Ennice	[u'Lot: 3.84 acres', u'Single Family', u'Built in 2002', u'All time views: 2,407', u'Last sold: Sep 2015 for $96,361', u'Last sale price/sqft: $45', u'Floor size: 2,128 sqft', u'Parcel #: 4021226739', u'Zillow Home ID: 114781402']	http://photos2.zillowstatic.com/p_e/ISto66qjpm5qcb0000000000.jpg	96361.0	[]	2128.0	NC	190725.0	28623	114781402
2.0	3	Ennice	[u'Lot: 0.65 acres', u'Single Family', u'Built in 1970', u'All time views: 923', u'Last sold: Sep 2015 for $75,000', u'Last sale price/sqft: $54', u'Floor size: 1,384 sqft', u'Parcel #: 4021636473', u'Zillow Home ID: 114781466']	http://photos2.zillowstatic.com/p_e/IS1n6jh9e23dlo0000000000.jpg	75000.0	[]	1384.0	NC	78731.0	28623	114781466
2.0	4	Ennice	[u'Lot: 4.02 acres', u'Single Family', u'Built in 2007', u'All time views: 489', u'Last sold: May 2015 for $118,000', u'Last sale price/sqft: $55', u'Floor size: 2,128 sqft', u'Parcel #: 4021223571', u'Zillow Home ID: 114781401']	http://photos3.zillowstatic.com/p_e/ISt0k8afkl1u9s1000000000.jpg	118000.0	[]	2128.0	NC	193854.0	28623	114781401
2.0	4	Ennice	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1957', u'All time views: 1,362', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: Dec 2014 for $134,000', u'Last sale price/sqft: $70', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Attached', u'Porch', u'Unfinished basement', u'View: Mountain', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Laundry room', u'Mud room', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,908 sqft', u'Heating: Gas, Propane butane', u'Parcel #: 4022991005', u'Zillow Home ID: 114781611']	http://photos1.zillowstatic.com/p_e/ISliku2ukgadbw1000000000.jpg	134000.0	[]	1908.0	NC	125245.0	28623	114781611
1.0	2	Ennice	[u'Lot: 0.57 acres', u'Single Family', u'Built in 1970', u'All time views: 662', u'Heating: Forced air', u'Last sold: Oct 2014 for $57,000', u'Last sale price/sqft: $53', u'Parking: Carport, 200 sqft garage', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,080 sqft', u'Parcel #: 4012414192', u'Zillow Home ID: 114781231']	http://photos1.zillowstatic.com/p_e/IS99ho8uxvzzz30000000000.jpg	57000.0	[]	1080.0	NC	85023.0	28623	114781231
1.0	3	Ennice	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1959', u'All time views: 775', u'Heating: Other', u'Last sold: Oct 2014 for $82,000', u'Last sale price/sqft: $70', u'Parking: Off street, 600 sqft garage', u'Exterior material: Brick', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,174 sqft', u'Heating: Other', u'Parcel #: 4021872130', u'Zillow Home ID: 114781525']	http://photos2.zillowstatic.com/p_e/IS133vc0ptoc6o1000000000.jpg	82000.0	[]	1174.0	NC	81842.0	28623	114781525
2.5	2	Ennice	[u'Lot: 6.37 acres', u'Single Family', u'Built in 2008', u'All time views: 814', u'Last sold: Aug 2014 for $230,000', u'Last sale price/sqft: $98', u'Fireplace', u'Parking: Carport, 400 sqft garage', u'Exterior material: Other', u'Room count: 6', u'Stories: 1.5', u'Structure type: Cape cod', u'Floor size: 2,346 sqft', u'Heating: Wood / pellet', u'Parcel #: 4021331324', u'Zillow Home ID: 114781416']	http://photos2.zillowstatic.com/p_e/IStgkfwiofun210000000000.jpg	230000.0	[]	2346.0	NC	302201.0	28623	114781416
2.0	3	Ennice	[u'Lot: 6.16 acres', u'Single Family', u'Built in 2004', u'All time views: 984', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2014 for $195,000', u'Last sale price/sqft: $66', u'Fireplace', u'Exterior material: Other', u'Room count: 4', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,965 sqft', u'Parcel #: 4032332438', u'Zillow Home ID: 114782020']	http://photos2.zillowstatic.com/p_e/IS13v823gwhlko0000000000.jpg	195000.0	[]	2965.0	NC	307987.0	28623	114782020
2.0	4	Ennice	[u'Lot: 3.84 acres', u'Single Family', u'Built in 2002', u'All time views: 2,409', u'Last sold: Sep 2015 for $96,361', u'Last sale price/sqft: $45', u'Floor size: 2,128 sqft', u'Parcel #: 4021226739', u'Zillow Home ID: 114781402']	http://photos2.zillowstatic.com/p_e/ISto66qjpm5qcb0000000000.jpg	96361.0	[]	2128.0	NC	190725.0	28623	114781402
2.0	3	Ennice	[u'Lot: 0.65 acres', u'Single Family', u'Built in 1970', u'All time views: 922', u'Last sold: Sep 2015 for $75,000', u'Last sale price/sqft: $54', u'Floor size: 1,384 sqft', u'Parcel #: 4021636473', u'Zillow Home ID: 114781466']	http://photos2.zillowstatic.com/p_e/IS1n6jh9e23dlo0000000000.jpg	75000.0	[]	1384.0	NC	78731.0	28623	114781466
2.0	4	Ennice	[u'Lot: 4.02 acres', u'Single Family', u'Built in 2007', u'All time views: 488', u'Last sold: May 2015 for $118,000', u'Last sale price/sqft: $55', u'Floor size: 2,128 sqft', u'Parcel #: 4021223571', u'Zillow Home ID: 114781401']	http://photos3.zillowstatic.com/p_e/ISt0k8afkl1u9s1000000000.jpg	118000.0	[]	2128.0	NC	193854.0	28623	114781401
2.0	4	Ennice	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1957', u'All time views: 1,360', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: Dec 2014 for $134,000', u'Last sale price/sqft: $70', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Attached', u'Porch', u'Unfinished basement', u'View: Mountain', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Laundry room', u'Mud room', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,908 sqft', u'Heating: Gas, Propane butane', u'Parcel #: 4022991005', u'Zillow Home ID: 114781611']	http://photos1.zillowstatic.com/p_e/ISliku2ukgadbw1000000000.jpg	134000.0	[]	1908.0	NC	125245.0	28623	114781611
1.0	2	Ennice	[u'Lot: 0.57 acres', u'Single Family', u'Built in 1970', u'All time views: 664', u'Heating: Forced air', u'Last sold: Oct 2014 for $57,000', u'Last sale price/sqft: $53', u'Parking: Carport, 200 sqft garage', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,080 sqft', u'Parcel #: 4012414192', u'Zillow Home ID: 114781231']	http://photos1.zillowstatic.com/p_e/IS99ho8uxvzzz30000000000.jpg	57000.0	[]	1080.0	NC	85023.0	28623	114781231
1.0	3	Ennice	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1959', u'All time views: 774', u'Heating: Other', u'Last sold: Oct 2014 for $82,000', u'Last sale price/sqft: $70', u'Parking: Off street, 600 sqft garage', u'Exterior material: Brick', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,174 sqft', u'Heating: Other', u'Parcel #: 4021872130', u'Zillow Home ID: 114781525']	http://photos2.zillowstatic.com/p_e/IS133vc0ptoc6o1000000000.jpg	82000.0	[]	1174.0	NC	81842.0	28623	114781525
2.5	2	Ennice	[u'Lot: 6.37 acres', u'Single Family', u'Built in 2008', u'All time views: 811', u'Last sold: Aug 2014 for $230,000', u'Last sale price/sqft: $98', u'Fireplace', u'Parking: Carport, 400 sqft garage', u'Exterior material: Other', u'Room count: 6', u'Stories: 1.5', u'Structure type: Cape cod', u'Floor size: 2,346 sqft', u'Heating: Wood / pellet', u'Parcel #: 4021331324', u'Zillow Home ID: 114781416']	http://photos2.zillowstatic.com/p_e/IStgkfwiofun210000000000.jpg	230000.0	[]	2346.0	NC	302201.0	28623	114781416
2.0	3	Ennice	[u'Lot: 6.16 acres', u'Single Family', u'Built in 2004', u'All time views: 986', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2014 for $195,000', u'Last sale price/sqft: $66', u'Fireplace', u'Exterior material: Other', u'Room count: 4', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,965 sqft', u'Parcel #: 4032332438', u'Zillow Home ID: 114782020']	http://photos2.zillowstatic.com/p_e/IS13v823gwhlko0000000000.jpg	195000.0	[]	2965.0	NC	307987.0	28623	114782020
2.0	4	Ennice	[u'Lot: 3.84 acres', u'Single Family', u'Built in 2002', u'All time views: 2,405', u'Last sold: Sep 2015 for $96,361', u'Last sale price/sqft: $45', u'Floor size: 2,128 sqft', u'Parcel #: 4021226739', u'Zillow Home ID: 114781402']	http://photos2.zillowstatic.com/p_e/ISto66qjpm5qcb0000000000.jpg	96361.0	[]	2128.0	NC	190725.0	28623	114781402
2.0	3	Ennice	[u'Lot: 0.65 acres', u'Single Family', u'Built in 1970', u'All time views: 921', u'Last sold: Sep 2015 for $75,000', u'Last sale price/sqft: $54', u'Floor size: 1,384 sqft', u'Parcel #: 4021636473', u'Zillow Home ID: 114781466']	http://photos2.zillowstatic.com/p_e/IS1n6jh9e23dlo0000000000.jpg	75000.0	[]	1384.0	NC	78731.0	28623	114781466
2.0	4	Ennice	[u'Lot: 4.02 acres', u'Single Family', u'Built in 2007', u'All time views: 490', u'Last sold: May 2015 for $118,000', u'Last sale price/sqft: $55', u'Floor size: 2,128 sqft', u'Parcel #: 4021223571', u'Zillow Home ID: 114781401']	http://photos3.zillowstatic.com/p_e/ISt0k8afkl1u9s1000000000.jpg	118000.0	[]	2128.0	NC	193854.0	28623	114781401
