baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	2	Crumpler	[u'Single Family', u'Built in 1980', u'All time views: 296', u'Last sold: Oct 2013 for $288,000', u'Last sale price/sqft: $165', u'Floor size: 1,750 sqft', u'Zillow Home ID: 2111460062']	http://photos1.zillowstatic.com/p_e/ISl20c2odam1f61000000000.jpg	288000.0	[]	1750.0	NC	196235.0	28617	2111460062
4.0	3	Crumpler	[u'Lot: 0.64 acres', u'Single Family', u'Built in 1992', u'All time views: 370', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Sep 2013 for $214,500', u'Last sale price/sqft: $96', u'Fireplace', u'Parking: Garage - Attached', u'Porch', u'View: Mountain', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Stone, Vinyl, Wood', u'Roof type: Asphalt', u'Structure type: Cape cod', u'Floor size: 2,231 sqft', u'Heating: Electric, Gas, Other', u'Parcel #: 09298-059-004', u'Zillow Home ID: 114794880']	http://photos2.zillowstatic.com/p_e/IS5euu0aqwk5n71000000000.jpg	214500.0	[]	2231.0	NC	206838.0	28617	114794880
2.0	2	Crumpler	[u'Lot: 3.04 acres', u'Single Family', u'Built in 1964', u'All time views: 3,132', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2016 for $91,216', u'Last sale price/sqft: $66', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Tile', u'View: Mountain', u'Style: Ranch', u'Eat-in Kitchen', u'Large Master Bedroom', u'Main Bedroom-Main Level', u'Property Status: Active', u'Foundation: Crawl Space', u'Appliances: None', u'Lot Description: Level', u'Miscellaneous: None', u'Road Maintenance: Other-See Remarks', u'Road Surface: Gravel', u'None', u'Interior Walls: Other-See Remarks', u'Water: Other Sewer-See Remarks', u'Electric: Other-See Remarks', u'Interior Walls: Paneling', u'Acreage Range: 2.5-4.5 acres', u'Primary: Electric Furnace', u'Water: Other Water-See Remarks', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,380 sqft', u'Heating: Electric', u'Last remodel year: 2016', u'Parcel #: 09334-207', u'Zillow Home ID: 114795547']	http://photos1.zillowstatic.com/p_e/ISugcl7pm23c1r1000000000.jpg	91216.0	[]	1380.0	NC	107061.0	28617	114795547
2.0	3	Crumpler	[u'Lot: 2 acres', u'Single Family', u'Built in 1990', u'All time views: 3,636', u'Heating: Heat pump, Other', u'Last sold: Feb 2016 for $68,000', u'Last sale price/sqft: $45', u'View: Mountain', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Structure type: Other', u'Floor size: 1,512 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 01365-231', u'Unit floor #: 0', u'Zillow Home ID: 114786404']	http://photos1.zillowstatic.com/p_e/IS9dowiiumqfde0000000000.jpg	68000.0	[]	1512.0	NC	148473.0	28617	114786404
2.0	3	Crumpler	[u'Lot: 11.2 acres', u'Single Family', u'Built in 1998', u'All time views: 2,212', u'Last sold: Aug 2015 for $145,000', u'Last sale price/sqft: $70', u'Floor size: 2,060 sqft', u'Parcel #: 09334-220', u'Zillow Home ID: 114795541']	http://photos3.zillowstatic.com/p_e/ISh3u0xho3spp00000000000.jpg	145000.0	[]	2060.0	NC	226006.0	28617	114795541
2.5	3	Crumpler	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1986', u'All time views: 905', u'Heating: Heat pump', u'Last sold: Aug 2015 for $239,000', u'Last sale price/sqft: $128', u'Parking: Garage - Attached', u'View: Mountain, Water', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick, Wood', u'Roof type: Asphalt', u'Structure type: Ranch', u'Floor size: 1,874 sqft', u'Heating: Electric', u'Parcel #: 05326-090-016', u'Zillow Home ID: 114793411']	http://photos3.zillowstatic.com/p_e/IS9p52kk968rrr0000000000.jpg	239000.0	[]	1874.0	NC	203473.0	28617	114793411
3.5	4	Crumpler	[u'Lot: 13.02 acres', u'Single Family', u'Built in 1991', u'All time views: 2,741', u'Last sold: Feb 2015 for $325,000', u'Last sale price/sqft: $74', u'Floor size: 4,387 sqft', u'Zillow Home ID: 2140291073']	http://photos2.zillowstatic.com/p_e/ISp12wnxl74kuu0000000000.jpg	325000.0	[]	4387.0	NC	706539.0	28617	2140291073
1.0	2	Crumpler	[u'Single Family', u'Built in 1976', u'All time views: 680', u'Last sold: Dec 2014 for $70,000', u'Last sale price/sqft: $72', u'Floor size: 974 sqft', u'Zillow Home ID: 2105721747']	http://photos1.zillowstatic.com/p_e/ISlq2m6slzhph71000000000.jpg	70000.0	[]	974.0	NC	112157.0	28617	2105721747
2.0	3	Crumpler	[u'Lot: 2 acres', u'Single Family', u'Built in 1973', u'Last sold: Dec 2014 for $108,000', u'Last sale price/sqft: $76', u'Floor size: 1,421 sqft', u'Parcel #: 18294-165', u'Zillow Home ID: 114789503']	http://photos1.zillowstatic.com/p_e/ISx3d0jq2y9gut0000000000.jpg	108000.0	[]	1421.0	NC	117524.0	28617	114789503
2.0	3	Crumpler	[u'Lot: 1.43 acres', u'Single Family', u'Built in 1972', u'All time views: 1,719', u'Heating: Baseboard', u'Last sold: Aug 2014 for $130,000', u'Last sale price/sqft: $47', u'Deck', u'Parking: Garage - Attached', u'View: Mountain', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Metal', u'Structure type: Other', u'Floor size: 2,766 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 05326-177', u'Zillow Home ID: 114793351']	http://photos3.zillowstatic.com/p_e/ISlyowfq6to70h0000000000.jpg	130000.0	[]	2766.0	NC	205086.0	28617	114793351
2.0	2	Crumpler	[u'Lot: 3.04 acres', u'Single Family', u'Built in 1964', u'All time views: 3,131', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2016 for $91,216', u'Last sale price/sqft: $66', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Tile', u'View: Mountain', u'Style: Ranch', u'Eat-in Kitchen', u'Large Master Bedroom', u'Main Bedroom-Main Level', u'Property Status: Active', u'Foundation: Crawl Space', u'Appliances: None', u'Lot Description: Level', u'Miscellaneous: None', u'Road Maintenance: Other-See Remarks', u'Road Surface: Gravel', u'None', u'Interior Walls: Other-See Remarks', u'Water: Other Sewer-See Remarks', u'Electric: Other-See Remarks', u'Interior Walls: Paneling', u'Acreage Range: 2.5-4.5 acres', u'Primary: Electric Furnace', u'Water: Other Water-See Remarks', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,380 sqft', u'Heating: Electric', u'Last remodel year: 2016', u'Parcel #: 09334-207', u'Zillow Home ID: 114795547']	http://photos1.zillowstatic.com/p_e/ISugcl7pm23c1r1000000000.jpg	91216.0	[]	1380.0	NC	107061.0	28617	114795547
2.0	3	Crumpler	[u'Lot: 2 acres', u'Single Family', u'Built in 1990', u'All time views: 3,640', u'Heating: Heat pump, Other', u'Last sold: Feb 2016 for $68,000', u'Last sale price/sqft: $45', u'View: Mountain', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Structure type: Other', u'Floor size: 1,512 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 01365-231', u'Unit floor #: 0', u'Zillow Home ID: 114786404']	http://photos1.zillowstatic.com/p_e/IS9dowiiumqfde0000000000.jpg	68000.0	[]	1512.0	NC	148473.0	28617	114786404
2.0	3	Crumpler	[u'Lot: 11.2 acres', u'Single Family', u'Built in 1998', u'All time views: 2,216', u'Last sold: Aug 2015 for $145,000', u'Last sale price/sqft: $70', u'Floor size: 2,060 sqft', u'Parcel #: 09334-220', u'Zillow Home ID: 114795541']	http://photos3.zillowstatic.com/p_e/ISh3u0xho3spp00000000000.jpg	145000.0	[]	2060.0	NC	226006.0	28617	114795541
2.5	3	Crumpler	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1986', u'All time views: 911', u'Heating: Heat pump', u'Last sold: Aug 2015 for $239,000', u'Last sale price/sqft: $128', u'Parking: Garage - Attached', u'View: Mountain, Water', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick, Wood', u'Roof type: Asphalt', u'Structure type: Ranch', u'Floor size: 1,874 sqft', u'Heating: Electric', u'Parcel #: 05326-090-016', u'Zillow Home ID: 114793411']	http://photos3.zillowstatic.com/p_e/IS9p52kk968rrr0000000000.jpg	239000.0	[]	1874.0	NC	203473.0	28617	114793411
3.5	4	Crumpler	[u'Lot: 13.02 acres', u'Single Family', u'Built in 1991', u'All time views: 2,743', u'Last sold: Feb 2015 for $325,000', u'Last sale price/sqft: $74', u'Floor size: 4,387 sqft', u'Zillow Home ID: 2140291073']	http://photos2.zillowstatic.com/p_e/ISp12wnxl74kuu0000000000.jpg	325000.0	[]	4387.0	NC	706539.0	28617	2140291073
1.0	2	Crumpler	[u'Single Family', u'Built in 1976', u'All time views: 678', u'Last sold: Dec 2014 for $70,000', u'Last sale price/sqft: $72', u'Floor size: 974 sqft', u'Zillow Home ID: 2105721747']	http://photos1.zillowstatic.com/p_e/ISlq2m6slzhph71000000000.jpg	70000.0	[]	974.0	NC	112157.0	28617	2105721747
2.0	3	Crumpler	[u'Lot: 2 acres', u'Single Family', u'Built in 1973', u'All time views: 846', u'Last sold: Dec 2014 for $108,000', u'Last sale price/sqft: $76', u'Floor size: 1,421 sqft', u'Parcel #: 18294-165', u'Zillow Home ID: 114789503']	http://photos1.zillowstatic.com/p_e/ISx3d0jq2y9gut0000000000.jpg	108000.0	[]	1421.0	NC	117524.0	28617	114789503
2.0	3	Crumpler	[u'Lot: 1.43 acres', u'Single Family', u'Built in 1972', u'All time views: 1,720', u'Heating: Baseboard', u'Last sold: Aug 2014 for $130,000', u'Last sale price/sqft: $47', u'Deck', u'Parking: Garage - Attached', u'View: Mountain', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Metal', u'Structure type: Other', u'Floor size: 2,766 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 05326-177', u'Zillow Home ID: 114793351']	http://photos3.zillowstatic.com/p_e/ISlyowfq6to70h0000000000.jpg	130000.0	[]	2766.0	NC	205086.0	28617	114793351
2.0	2	Crumpler	[u'Lot: 3.04 acres', u'Single Family', u'Built in 1964', u'All time views: 3,134', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2016 for $91,216', u'Last sale price/sqft: $66', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Tile', u'View: Mountain', u'Style: Ranch', u'Eat-in Kitchen', u'Large Master Bedroom', u'Main Bedroom-Main Level', u'Property Status: Active', u'Foundation: Crawl Space', u'Appliances: None', u'Lot Description: Level', u'Miscellaneous: None', u'Road Maintenance: Other-See Remarks', u'Road Surface: Gravel', u'None', u'Interior Walls: Other-See Remarks', u'Water: Other Sewer-See Remarks', u'Electric: Other-See Remarks', u'Interior Walls: Paneling', u'Acreage Range: 2.5-4.5 acres', u'Primary: Electric Furnace', u'Water: Other Water-See Remarks', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,380 sqft', u'Heating: Electric', u'Last remodel year: 2016', u'Parcel #: 09334-207', u'Zillow Home ID: 114795547']	http://photos1.zillowstatic.com/p_e/ISugcl7pm23c1r1000000000.jpg	91216.0	[]	1380.0	NC	107061.0	28617	114795547
2.0	3	Crumpler	[u'Lot: 2 acres', u'Single Family', u'Built in 1990', u'All time views: 3,642', u'Heating: Heat pump, Other', u'Last sold: Feb 2016 for $68,000', u'Last sale price/sqft: $45', u'View: Mountain', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Structure type: Other', u'Floor size: 1,512 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 01365-231', u'Unit floor #: 0', u'Zillow Home ID: 114786404']	http://photos1.zillowstatic.com/p_e/IS9dowiiumqfde0000000000.jpg	68000.0	[]	1512.0	NC	148473.0	28617	114786404
2.0	3	Crumpler	[u'Lot: 11.2 acres', u'Single Family', u'Built in 1998', u'All time views: 2,213', u'Last sold: Aug 2015 for $145,000', u'Last sale price/sqft: $70', u'Floor size: 2,060 sqft', u'Parcel #: 09334-220', u'Zillow Home ID: 114795541']	http://photos3.zillowstatic.com/p_e/ISh3u0xho3spp00000000000.jpg	145000.0	[]	2060.0	NC	226006.0	28617	114795541
2.5	3	Crumpler	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1986', u'All time views: 907', u'Heating: Heat pump', u'Last sold: Aug 2015 for $239,000', u'Last sale price/sqft: $128', u'Parking: Garage - Attached', u'View: Mountain, Water', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick, Wood', u'Roof type: Asphalt', u'Structure type: Ranch', u'Floor size: 1,874 sqft', u'Heating: Electric', u'Parcel #: 05326-090-016', u'Zillow Home ID: 114793411']	http://photos3.zillowstatic.com/p_e/IS9p52kk968rrr0000000000.jpg	239000.0	[]	1874.0	NC	203473.0	28617	114793411
3.5	4	Crumpler	[u'Lot: 13.02 acres', u'Single Family', u'Built in 1991', u'All time views: 2,740', u'Last sold: Feb 2015 for $325,000', u'Last sale price/sqft: $74', u'Floor size: 4,387 sqft', u'Zillow Home ID: 2140291073']	http://photos2.zillowstatic.com/p_e/ISp12wnxl74kuu0000000000.jpg	325000.0	[]	4387.0	NC	706539.0	28617	2140291073
1.0	2	Crumpler	[u'Single Family', u'Built in 1976', u'All time views: 676', u'Last sold: Dec 2014 for $70,000', u'Last sale price/sqft: $72', u'Floor size: 974 sqft', u'Zillow Home ID: 2105721747']	http://photos1.zillowstatic.com/p_e/ISlq2m6slzhph71000000000.jpg	70000.0	[]	974.0	NC	112157.0	28617	2105721747
2.0	3	Crumpler	[u'Lot: 2 acres', u'Single Family', u'Built in 1973', u'All time views: 845', u'Last sold: Dec 2014 for $108,000', u'Last sale price/sqft: $76', u'Floor size: 1,421 sqft', u'Parcel #: 18294-165', u'Zillow Home ID: 114789503']	http://photos1.zillowstatic.com/p_e/ISx3d0jq2y9gut0000000000.jpg	108000.0	[]	1421.0	NC	117524.0	28617	114789503
2.0	3	Crumpler	[u'Lot: 1.43 acres', u'Single Family', u'Built in 1972', u'All time views: 1,716', u'Heating: Baseboard', u'Last sold: Aug 2014 for $130,000', u'Last sale price/sqft: $47', u'Deck', u'Parking: Garage - Attached', u'View: Mountain', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Metal', u'Structure type: Other', u'Floor size: 2,766 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 05326-177', u'Zillow Home ID: 114793351']	http://photos3.zillowstatic.com/p_e/ISlyowfq6to70h0000000000.jpg	130000.0	[]	2766.0	NC	205086.0	28617	114793351
2.0	2	Crumpler	[u'Lot: 3.04 acres', u'Single Family', u'Built in 1964', u'All time views: 3,129', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2016 for $91,216', u'Last sale price/sqft: $66', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Tile', u'View: Mountain', u'Style: Ranch', u'Eat-in Kitchen', u'Large Master Bedroom', u'Main Bedroom-Main Level', u'Property Status: Active', u'Foundation: Crawl Space', u'Appliances: None', u'Lot Description: Level', u'Miscellaneous: None', u'Road Maintenance: Other-See Remarks', u'Road Surface: Gravel', u'None', u'Interior Walls: Other-See Remarks', u'Water: Other Sewer-See Remarks', u'Electric: Other-See Remarks', u'Interior Walls: Paneling', u'Acreage Range: 2.5-4.5 acres', u'Primary: Electric Furnace', u'Water: Other Water-See Remarks', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,380 sqft', u'Heating: Electric', u'Last remodel year: 2016', u'Parcel #: 09334-207', u'Zillow Home ID: 114795547']	http://photos1.zillowstatic.com/p_e/ISugcl7pm23c1r1000000000.jpg	91216.0	[]	1380.0	NC	107061.0	28617	114795547
2.0	3	Crumpler	[u'Lot: 2 acres', u'Single Family', u'Built in 1990', u'All time views: 3,637', u'Heating: Heat pump, Other', u'Last sold: Feb 2016 for $68,000', u'Last sale price/sqft: $45', u'View: Mountain', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Structure type: Other', u'Floor size: 1,512 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 01365-231', u'Unit floor #: 0', u'Zillow Home ID: 114786404']	http://photos1.zillowstatic.com/p_e/IS9dowiiumqfde0000000000.jpg	68000.0	[]	1512.0	NC	148473.0	28617	114786404
2.0	3	Crumpler	[u'Lot: 11.2 acres', u'Single Family', u'Built in 1998', u'All time views: 2,210', u'Last sold: Aug 2015 for $145,000', u'Last sale price/sqft: $70', u'Floor size: 2,060 sqft', u'Parcel #: 09334-220', u'Zillow Home ID: 114795541']	http://photos3.zillowstatic.com/p_e/ISh3u0xho3spp00000000000.jpg	145000.0	[]	2060.0	NC	226006.0	28617	114795541
2.5	3	Crumpler	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1986', u'All time views: 910', u'Heating: Heat pump', u'Last sold: Aug 2015 for $239,000', u'Last sale price/sqft: $128', u'Parking: Garage - Attached', u'View: Mountain, Water', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick, Wood', u'Roof type: Asphalt', u'Structure type: Ranch', u'Floor size: 1,874 sqft', u'Heating: Electric', u'Parcel #: 05326-090-016', u'Zillow Home ID: 114793411']	http://photos3.zillowstatic.com/p_e/IS9p52kk968rrr0000000000.jpg	239000.0	[]	1874.0	NC	203473.0	28617	114793411
3.5	4	Crumpler	[u'Lot: 13.02 acres', u'Single Family', u'Built in 1991', u'All time views: 2,749', u'Last sold: Feb 2015 for $325,000', u'Last sale price/sqft: $74', u'Floor size: 4,387 sqft', u'Zillow Home ID: 2140291073']	http://photos2.zillowstatic.com/p_e/ISp12wnxl74kuu0000000000.jpg	325000.0	[]	4387.0	NC	706539.0	28617	2140291073
1.0	2	Crumpler	[u'Single Family', u'Built in 1976', u'All time views: 681', u'Last sold: Dec 2014 for $70,000', u'Last sale price/sqft: $72', u'Floor size: 974 sqft', u'Zillow Home ID: 2105721747']	http://photos1.zillowstatic.com/p_e/ISlq2m6slzhph71000000000.jpg	70000.0	[]	974.0	NC	112157.0	28617	2105721747
2.0	3	Crumpler	[u'Lot: 2 acres', u'Single Family', u'Built in 1973', u'All time views: 851', u'Last sold: Dec 2014 for $108,000', u'Last sale price/sqft: $76', u'Floor size: 1,421 sqft', u'Parcel #: 18294-165', u'Zillow Home ID: 114789503']	http://photos1.zillowstatic.com/p_e/ISx3d0jq2y9gut0000000000.jpg	108000.0	[]	1421.0	NC	117524.0	28617	114789503
2.0	3	Crumpler	[u'Lot: 1.43 acres', u'Single Family', u'Built in 1972', u'Heating: Baseboard', u'Last sold: Aug 2014 for $130,000', u'Last sale price/sqft: $47', u'Deck', u'Parking: Garage - Attached', u'View: Mountain', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Metal', u'Structure type: Other', u'Floor size: 2,766 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 05326-177', u'Zillow Home ID: 114793351']	http://photos3.zillowstatic.com/p_e/ISlyowfq6to70h0000000000.jpg	130000.0	[]	2766.0	NC	205086.0	28617	114793351
