baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	2	Stacy	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2001', u'All time views: 599', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $44,000', u'Last sale price/sqft: $36', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Appliances: Oven - Electric', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'Walk-in Shower', u'Construction: See Remarks', u'Manufactured Type: Single Wide', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,212 sqft', u'Last remodel year: 1945', u'Laundry: In Unit', u'Lot depth: 173 ft', u'Lot width: 94 ft', u'Parcel #: 747001454486000', u'Zillow Home ID: 101991017']	http://photos3.zillowstatic.com/p_e/ISxf2sayb9g5a90000000000.jpg	44000.0	[]	1212.0	NC	94153.0	28581	101991017
1.0	2	Stacy	[u'Lot: 1 acre', u'Single Family', u'Built in 1965', u'All time views: 1,945', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2015 for $82,500', u'Last sale price/sqft: $108', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 761 sqft', u'Last remodel year: 1984', u'Laundry: In Unit', u'Lot depth: 228 ft', u'Lot width: 192 ft', u'Parcel #: 747001376484000', u'Zillow Home ID: 101974508']	http://photos3.zillowstatic.com/p_e/IShndlt6r6lcxl0000000000.jpg	82500.0	[]	761.0	NC	85508.0	28581	101974508
2.0	2	Stacy	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2001', u'All time views: 601', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $44,000', u'Last sale price/sqft: $36', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Appliances: Oven - Electric', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'Walk-in Shower', u'Construction: See Remarks', u'Manufactured Type: Single Wide', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,212 sqft', u'Last remodel year: 1945', u'Laundry: In Unit', u'Lot depth: 173 ft', u'Lot width: 94 ft', u'Parcel #: 747001454486000', u'Zillow Home ID: 101991017']	http://photos3.zillowstatic.com/p_e/ISxf2sayb9g5a90000000000.jpg	44000.0	[]	1212.0	NC	94153.0	28581	101991017
1.0	2	Stacy	[u'Lot: 1 acre', u'Single Family', u'Built in 1965', u'All time views: 1,934', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2015 for $82,500', u'Last sale price/sqft: $108', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 761 sqft', u'Last remodel year: 1984', u'Laundry: In Unit', u'Lot depth: 228 ft', u'Lot width: 192 ft', u'Parcel #: 747001376484000', u'Zillow Home ID: 101974508']	http://photos3.zillowstatic.com/p_e/IShndlt6r6lcxl0000000000.jpg	82500.0	[]	761.0	NC	85508.0	28581	101974508
2.0	2	Stacy	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2001', u'All time views: 591', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $44,000', u'Last sale price/sqft: $36', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Appliances: Oven - Electric', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'Walk-in Shower', u'Construction: See Remarks', u'Manufactured Type: Single Wide', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,212 sqft', u'Last remodel year: 1945', u'Laundry: In Unit', u'Lot depth: 173 ft', u'Lot width: 94 ft', u'Parcel #: 747001454486000', u'Zillow Home ID: 101991017']	http://photos3.zillowstatic.com/p_e/ISxf2sayb9g5a90000000000.jpg	44000.0	[]	1212.0	NC	94153.0	28581	101991017
1.0	2	Stacy	[u'Lot: 1 acre', u'Single Family', u'Built in 1965', u'All time views: 1,950', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2015 for $82,500', u'Last sale price/sqft: $108', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 761 sqft', u'Last remodel year: 1984', u'Laundry: In Unit', u'Lot depth: 228 ft', u'Lot width: 192 ft', u'Parcel #: 747001376484000', u'Zillow Home ID: 101974508']	http://photos3.zillowstatic.com/p_e/IShndlt6r6lcxl0000000000.jpg	82500.0	[]	761.0	NC	85508.0	28581	101974508
2.0	2	Stacy	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2001', u'All time views: 596', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $44,000', u'Last sale price/sqft: $36', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Appliances: Oven - Electric', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'Walk-in Shower', u'Construction: See Remarks', u'Manufactured Type: Single Wide', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,212 sqft', u'Last remodel year: 1945', u'Laundry: In Unit', u'Lot depth: 173 ft', u'Lot width: 94 ft', u'Parcel #: 747001454486000', u'Zillow Home ID: 101991017']	http://photos3.zillowstatic.com/p_e/ISxf2sayb9g5a90000000000.jpg	44000.0	[]	1212.0	NC	94153.0	28581	101991017
1.0	2	Stacy	[u'Lot: 1 acre', u'Single Family', u'Built in 1965', u'All time views: 1,939', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2015 for $82,500', u'Last sale price/sqft: $108', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 761 sqft', u'Last remodel year: 1984', u'Laundry: In Unit', u'Lot depth: 228 ft', u'Lot width: 192 ft', u'Parcel #: 747001376484000', u'Zillow Home ID: 101974508']	http://photos3.zillowstatic.com/p_e/IShndlt6r6lcxl0000000000.jpg	82500.0	[]	761.0	NC	85508.0	28581	101974508
2.0	2	Stacy	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2001', u'All time views: 594', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $44,000', u'Last sale price/sqft: $36', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Appliances: Oven - Electric', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'Walk-in Shower', u'Construction: See Remarks', u'Manufactured Type: Single Wide', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,212 sqft', u'Last remodel year: 1945', u'Laundry: In Unit', u'Lot depth: 173 ft', u'Lot width: 94 ft', u'Parcel #: 747001454486000', u'Zillow Home ID: 101991017']	http://photos3.zillowstatic.com/p_e/ISxf2sayb9g5a90000000000.jpg	44000.0	[]	1212.0	NC	94153.0	28581	101991017
1.0	2	Stacy	[u'Lot: 1 acre', u'Single Family', u'Built in 1965', u'All time views: 1,941', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2015 for $82,500', u'Last sale price/sqft: $108', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 761 sqft', u'Last remodel year: 1984', u'Laundry: In Unit', u'Lot depth: 228 ft', u'Lot width: 192 ft', u'Parcel #: 747001376484000', u'Zillow Home ID: 101974508']	http://photos3.zillowstatic.com/p_e/IShndlt6r6lcxl0000000000.jpg	82500.0	[]	761.0	NC	85508.0	28581	101974508
2.0	2	Stacy	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2001', u'All time views: 597', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $44,000', u'Last sale price/sqft: $36', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Appliances: Oven - Electric', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'Walk-in Shower', u'Construction: See Remarks', u'Manufactured Type: Single Wide', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,212 sqft', u'Last remodel year: 1945', u'Laundry: In Unit', u'Lot depth: 173 ft', u'Lot width: 94 ft', u'Parcel #: 747001454486000', u'Zillow Home ID: 101991017']	http://photos3.zillowstatic.com/p_e/ISxf2sayb9g5a90000000000.jpg	44000.0	[]	1212.0	NC	94153.0	28581	101991017
1.0	2	Stacy	[u'Lot: 1 acre', u'Single Family', u'Built in 1965', u'All time views: 1,944', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2015 for $82,500', u'Last sale price/sqft: $108', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 761 sqft', u'Last remodel year: 1984', u'Laundry: In Unit', u'Lot depth: 228 ft', u'Lot width: 192 ft', u'Parcel #: 747001376484000', u'Zillow Home ID: 101974508']	http://photos3.zillowstatic.com/p_e/IShndlt6r6lcxl0000000000.jpg	82500.0	[]	761.0	NC	85508.0	28581	101974508
2.0	2	Stacy	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2001', u'All time views: 602', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $44,000', u'Last sale price/sqft: $36', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Appliances: Oven - Electric', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'Walk-in Shower', u'Construction: See Remarks', u'Manufactured Type: Single Wide', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,212 sqft', u'Last remodel year: 1945', u'Laundry: In Unit', u'Lot depth: 173 ft', u'Lot width: 94 ft', u'Parcel #: 747001454486000', u'Zillow Home ID: 101991017']	http://photos3.zillowstatic.com/p_e/ISxf2sayb9g5a90000000000.jpg	44000.0	[]	1212.0	NC	94153.0	28581	101991017
1.0	2	Stacy	[u'Lot: 1 acre', u'Single Family', u'Built in 1965', u'All time views: 1,938', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2015 for $82,500', u'Last sale price/sqft: $108', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 761 sqft', u'Last remodel year: 1984', u'Laundry: In Unit', u'Lot depth: 228 ft', u'Lot width: 192 ft', u'Parcel #: 747001376484000', u'Zillow Home ID: 101974508']	http://photos3.zillowstatic.com/p_e/IShndlt6r6lcxl0000000000.jpg	82500.0	[]	761.0	NC	85508.0	28581	101974508
2.0	2	Stacy	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2001', u'All time views: 590', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $44,000', u'Last sale price/sqft: $36', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Appliances: Oven - Electric', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'Walk-in Shower', u'Construction: See Remarks', u'Manufactured Type: Single Wide', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,212 sqft', u'Last remodel year: 1945', u'Laundry: In Unit', u'Lot depth: 173 ft', u'Lot width: 94 ft', u'Parcel #: 747001454486000', u'Zillow Home ID: 101991017']	http://photos3.zillowstatic.com/p_e/ISxf2sayb9g5a90000000000.jpg	44000.0	[]	1212.0	NC	94153.0	28581	101991017
1.0	2	Stacy	[u'Lot: 1 acre', u'Single Family', u'Built in 1965', u'All time views: 1,933', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2015 for $82,500', u'Last sale price/sqft: $108', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 761 sqft', u'Last remodel year: 1984', u'Laundry: In Unit', u'Lot depth: 228 ft', u'Lot width: 192 ft', u'Parcel #: 747001376484000', u'Zillow Home ID: 101974508']	http://photos3.zillowstatic.com/p_e/IShndlt6r6lcxl0000000000.jpg	82500.0	[]	761.0	NC	85508.0	28581	101974508
2.0	2	Stacy	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2001', u'All time views: 586', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $44,000', u'Last sale price/sqft: $36', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Appliances: Oven - Electric', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'Walk-in Shower', u'Construction: See Remarks', u'Manufactured Type: Single Wide', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,212 sqft', u'Last remodel year: 1945', u'Laundry: In Unit', u'Lot depth: 173 ft', u'Lot width: 94 ft', u'Parcel #: 747001454486000', u'Zillow Home ID: 101991017']	http://photos3.zillowstatic.com/p_e/ISxf2sayb9g5a90000000000.jpg	44000.0	[]	1212.0	NC	94153.0	28581	101991017
