baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 581', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 857', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 892', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 567', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 579', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 851', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 898', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 570', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 584', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 840', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 899', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 580', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 577', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 846', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 900', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 573', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 583', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 842', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 895', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 581', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 585', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 844', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 904', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 575', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 586', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 845', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 903', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 577', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 587', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 854', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 905', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 579', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
