baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	4	Manteo	[u'Baths: 2 full, 1 half', u'Lot: 0.46 acres', u'Single Family', u'Built in 1999', u'All time views: 674', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $390,000', u'Last sale price/sqft: $142', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Patio', u'Porch', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'FLOOD ZONE: X', u'WATER: Municipal', u'Association Fee Y: Yes', u'CONSTRUCTION: Frame', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'GARAGE: 2 Car', u'HEATING: Central', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'Primary Residence (Y: Yes', u'SEWER: Private Septic', u'INTERIOR FEATURES: All Window Treatments', u'WATER: Well', u'EXTRAS: Water Filter', u'EXTRAS: Storage Shed', u'Area: Manteo-N. of Airport Road', u'Subdivision: Brakewood', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Cape cod', u'Floor size: 2,740 sqft', u'Laundry: In Unit', u'Parcel #: 030041000', u'Zillow Home ID: 86670112']	http://photos1.zillowstatic.com/p_e/IS1bd80a6tkncq1000000000.jpg	390000.0	[]	2740.0	NC	369388.0	27954	86670112
3.0	4	Manteo	"[u'Baths: 2 full, 1 half', u'Lot: 0.46 acres', u'Single Family', u'Built in 2004', u'All time views: 2,240', u'HOA Fee: $8/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $430,000', u'Last sale price/sqft: $128', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, Off street, 3 spaces', u'Pool', u'Porch', u'Security System', u'Sprinkler System', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'OPTIONAL ROOMS: Game Room', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'Association Fee Y: Yes', u'CONSTRUCTION: Frame', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'HEATING: Electric', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Some Windows Treated', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Foyer', u'PARKING: Off Street', u'ROADS: Public', u'Primary Residence (Y: Yes', u'EXTERIOR: Lap Siding', u'FOUNDATION: Masonry', u'OPTIONAL ROOMS: Utility Room', u'LOT DESCRIPTION: Cul-de-sac', u'SEWER: Private Septic', u'LOT DESCRIPTION: Corner', u'EXTRAS: Lawn Sprinklers', u'EXTRAS: Fenced Yard', u'GARAGE: 3 + Car', u'OPTIONAL ROOMS: Office', u'EXTRAS: Common Laundry Area', u'EXTRAS: Storage Shed', u'COUNTER TOPS: Silestone', u'EXTRAS: Attic Fan', u'Area: Manteo-N. of Airport Road', u'Subdivision: Brakewood', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Pool Type: Private', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Other, Wood products', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Colonial', u'Floor size: 3,350 sqft', u'Heating: Gas', u'Parcel #: 030001000', u'Zillow Home ID: 86669445']"	http://photos3.zillowstatic.com/p_e/ISh7p3friklpdc0000000000.jpg	430000.0	[]	3350.0	NC	405949.0	27954	86669445
1.0	2	Manteo	[u'Lot: 9,000 sqft', u'Single Family', u'Built in 1990', u'All time views: 5,715', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $158,000', u'Last sale price/sqft: $145', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Jetted Tub', u'Vaulted Ceiling', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'GARAGE: None', u'HEATING: Central', u'HEATING: Electric', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Washer Connection', u'PARKING: Off Street', u'Subdivision: None', u'SEWER: Private Septic', u'STYLE: Ranch', u'ROADS: Gravel', u'Area: Manteo-N. of Airport Road', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Freezer', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Other', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,092 sqft', u'Heating: Electric', u'Parcel #: 024211000', u'Zillow Home ID: 86662267']	http://photos3.zillowstatic.com/p_e/IS5ab16ig12rzq0000000000.jpg	158000.0	[]	1092.0	NC	160751.0	27954	86662267
4.0	4	Manteo	[u'Lot: 1.29 acres', u'Single Family', u'Built in 2002', u'All time views: 6,428', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Apr 2016 for $482,500', u'Last sale price/sqft: $161', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Furnished', u'Jetted Tub', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'Oil: No Representation', u'ASSOCIATION AMENITIES: Clubhouse', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'AIR CONDITIONING: Zoned', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'FLOOD ZONE: AE', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'LOT DESCRIPTION: Level', u'STYLE: Traditional', u'Primary Residence (Y: Yes', u'SEWER: Private Septic', u'ASSOCIATION FEE INCLUDES: Tennis Courts', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Lawn Sprinklers', u'Yearly Expense Act: Estimated', u'GARAGE: 3 + Car', u'WATER: Well', u'EXTRAS: Central Vacuum', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'OPTIONAL ROOMS: Office', u'ASSOCIATION AMENITIES: Boat Dock', u'EXTRAS: Storage Shed', u'Area: Manteo-N. of Airport Road', u'Subdivision: Heritage Point', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Floor size: 3,004 sqft', u'Parcel #: 024410065', u'Zillow Home ID: 86662544']	http://photos1.zillowstatic.com/p_e/ISds29femroyxi1000000000.jpg	482500.0	[]	3004.0	NC	477219.0	27954	86662544
2.5	3	Kill Devil Hills	[u'Baths: 2 full, 1 half', u'Lot: 1,999 sqft', u'Single Family', u'Built in 1994', u'All time views: 5,431', u'HOA Fee: $141/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $228,000', u'Last sale price/sqft: $134', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Parking: Carport', u'Pool', u'Porch', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'ASSOCIATION AMENITIES: Clubhouse', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'ROADS: Paved', u'WATER: Municipal', u'Association Fee Y: Yes', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'FOUNDATION: Piling', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'Primary Residence (Y: Yes', u'FOUNDATION: Slab', u'LOT DESCRIPTION: Cul-de-sac', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'SEWER: Community Septic', u'Area: Colington', u'Subdivision: Bay Cliff', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Pool Type: Association', u'LA1Agent Phone2 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,702 sqft', u'Heating: Electric', u'Parcel #: 018788131', u'Unit floor #: 0', u'Zillow Home ID: 86657822']	http://photos3.zillowstatic.com/p_e/IStoyjvamc23hp1000000000.jpg	228000.0	[]	1702.0	NC	226548.0	27948	86657822
3.5	4	Manteo	[u'Lot: 0.46 acres', u'Single Family', u'Built in 2006', u'All time views: 3,905', u'HOA Fee: $1,448/mo', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Apr 2016 for $540,000', u'Last sale price/sqft: $153', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Dock', u'Fenced Yard', u'Fireplace', u'Fitness Center', u'Flooring: Hardwood, Tile', u'Garden', u'Gated Entry', u'Jetted Tub', u'Lawn', u'Parking: Off street, 2 spaces, 624 sqft garage', u'Patio', u'Pool', u'Porch', u'Sprinkler System', u'Storage', u'Tennis Court', u'Vaulted Ceiling', u'View: Water', u'Clubhouse', u'Granite countertop', u'Guest parking', u'Living room', u'Playground', u'Stainless steel appliances', u'Dishwasher', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 3,538 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Parcel #: 024410018', u'Zillow Home ID: 86662508']	http://photos2.zillowstatic.com/p_e/ISt8aqb7axojgk1000000000.jpg	540000.0	[]	3538.0	NC	531261.0	27954	86662508
2.0	3	Manteo	[u'Lot: 0.47 acres', u'Single Family', u'Built in 2001', u'All time views: 3,033', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $219,000', u'Last sale price/sqft: $159', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Jetted Tub', u'Parking: Garage - Attached', u'Vaulted Ceiling', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'FLOOD ZONE: X', u'PARKING: Paved', u'ROADS: Paved', u'CONSTRUCTION: Frame', u'EXTRAS: Smoke Detector(s)', u'HEATING: Central', u'HEATING: Electric', u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'PARKING: Off Street', u'ROADS: Public', u'FOUNDATION: Masonry', u'OPTIONAL ROOMS: Utility Room', u'LOT DESCRIPTION: Cul-de-sac', u'SEWER: Private Septic', u'COUNTER TOPS: Laminate', u'GARAGE: 1 Car', u'WATER: Well', u'EXTRAS: Common Laundry Area', u'INTERIOR FEATURES: Attic', u'Area: Manteo-N. of Airport Road', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Subdivision: Beck Etheridge', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Cape cod', u'Floor size: 1,379 sqft', u'Laundry: In Unit', u'Parcel #: 029987000', u'Zillow Home ID: 86669408']	http://photos2.zillowstatic.com/p_e/ISt8q67v7ulfy01000000000.jpg	219000.0	[]	1379.0	NC	213669.0	27954	86669408
2.0	3	Manns Harbor	[u'Lot: 1.38 acres', u'Single Family', u'Built in 1975', u'All time views: 3,794', u'Cooling: Central, Other', u'Heating: Forced air, Heat pump, Other', u'Last sold: Jul 2014 for $91,000', u'Last sale price/sqft: $55', u'Deck', u'Fireplace', u'Parking: Off street', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Structure type: Ranch', u'Floor size: 1,644 sqft', u'Heating: Electric', u'Zillow Home ID: 2121100439']	http://photos3.zillowstatic.com/p_e/IS9tc2kbzmcjr41000000000.jpg	91000.0	[]	1644.0	NC	220620.0	27953	2121100439
3.0	4	Kill Devil Hills	[u'Lot: 1,999 sqft', u'Single Family', u'Built in 1999', u'All time views: 8,357', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $221,000', u'Last sale price/sqft: $128', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Pool', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Yearly Income Act: Estimated', u'County: Dare', u'Oil: No Representation', u'ASSOCIATION AMENITIES: Clubhouse', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Association Fee Y: Yes', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Sound Access', u'EXTERIOR: Shakes', u'FOUNDATION: Piling', u'HEATING: Electric', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'INTERIOR FEATURES: Some Windows Treated', u'INTERIOR FEATURES: Washer Connection', u'STYLE: Traditional', u'ASSOCIATION FEE INCLUDES: Management', u'ASSOCIATION FEE INCLUDES: Security', u'FOUNDATION: Slab', u'LOT DESCRIPTION: Cul-de-sac', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION AMENITIES: Common Area', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'PARKING: Under', u'ASSOCIATION AMENITIES: Board Walk', u'Area: Colington', u'ASSOCIATION FEE INCLUDES: Septic', u'SEWER: Private Sewer', u'COUNTER TOPS: Corian', u'Subdivision: Bay Cliff', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Master bath', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Structure type: Other', u'Floor size: 1,724 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2107504118']	http://photos3.zillowstatic.com/p_e/IS5uyglxpeu1uv0000000000.jpg	221000.0	[]	1724.0	NC	218446.0	27948	2107504118
2.5	4	Manteo	[u'Baths: 2 full, 1 half', u'Lot: 0.46 acres', u'Single Family', u'Built in 1999', u'All time views: 675', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $390,000', u'Last sale price/sqft: $142', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Patio', u'Porch', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'FLOOD ZONE: X', u'WATER: Municipal', u'Association Fee Y: Yes', u'CONSTRUCTION: Frame', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'GARAGE: 2 Car', u'HEATING: Central', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'Primary Residence (Y: Yes', u'SEWER: Private Septic', u'INTERIOR FEATURES: All Window Treatments', u'WATER: Well', u'EXTRAS: Water Filter', u'EXTRAS: Storage Shed', u'Area: Manteo-N. of Airport Road', u'Subdivision: Brakewood', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Cape cod', u'Floor size: 2,740 sqft', u'Laundry: In Unit', u'Parcel #: 030041000', u'Zillow Home ID: 86670112']	http://photos1.zillowstatic.com/p_e/IS1bd80a6tkncq1000000000.jpg	390000.0	[]	2740.0	NC	369388.0	27954	86670112
3.0	4	Manteo	"[u'Baths: 2 full, 1 half', u'Lot: 0.46 acres', u'Single Family', u'Built in 2004', u'All time views: 2,242', u'HOA Fee: $8/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $430,000', u'Last sale price/sqft: $128', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, Off street, 3 spaces', u'Pool', u'Porch', u'Security System', u'Sprinkler System', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'OPTIONAL ROOMS: Game Room', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'Association Fee Y: Yes', u'CONSTRUCTION: Frame', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'HEATING: Electric', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Some Windows Treated', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Foyer', u'PARKING: Off Street', u'ROADS: Public', u'Primary Residence (Y: Yes', u'EXTERIOR: Lap Siding', u'FOUNDATION: Masonry', u'OPTIONAL ROOMS: Utility Room', u'LOT DESCRIPTION: Cul-de-sac', u'SEWER: Private Septic', u'LOT DESCRIPTION: Corner', u'EXTRAS: Lawn Sprinklers', u'EXTRAS: Fenced Yard', u'GARAGE: 3 + Car', u'OPTIONAL ROOMS: Office', u'EXTRAS: Common Laundry Area', u'EXTRAS: Storage Shed', u'COUNTER TOPS: Silestone', u'EXTRAS: Attic Fan', u'Area: Manteo-N. of Airport Road', u'Subdivision: Brakewood', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Pool Type: Private', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Other, Wood products', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Colonial', u'Floor size: 3,350 sqft', u'Heating: Gas', u'Parcel #: 030001000', u'Zillow Home ID: 86669445']"	http://photos3.zillowstatic.com/p_e/ISh7p3friklpdc0000000000.jpg	430000.0	[]	3350.0	NC	405949.0	27954	86669445
1.0	2	Manteo	[u'Lot: 9,000 sqft', u'Single Family', u'Built in 1990', u'All time views: 5,707', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $158,000', u'Last sale price/sqft: $145', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Jetted Tub', u'Vaulted Ceiling', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'GARAGE: None', u'HEATING: Central', u'HEATING: Electric', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Washer Connection', u'PARKING: Off Street', u'Subdivision: None', u'SEWER: Private Septic', u'STYLE: Ranch', u'ROADS: Gravel', u'Area: Manteo-N. of Airport Road', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Freezer', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Other', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,092 sqft', u'Heating: Electric', u'Parcel #: 024211000', u'Zillow Home ID: 86662267']	http://photos3.zillowstatic.com/p_e/IS5ab16ig12rzq0000000000.jpg	158000.0	[]	1092.0	NC	160751.0	27954	86662267
4.0	4	Manteo	[u'Lot: 1.29 acres', u'Single Family', u'Built in 2002', u'All time views: 6,429', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Apr 2016 for $482,500', u'Last sale price/sqft: $161', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Furnished', u'Jetted Tub', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'Oil: No Representation', u'ASSOCIATION AMENITIES: Clubhouse', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'AIR CONDITIONING: Zoned', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'FLOOD ZONE: AE', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'LOT DESCRIPTION: Level', u'STYLE: Traditional', u'Primary Residence (Y: Yes', u'SEWER: Private Septic', u'ASSOCIATION FEE INCLUDES: Tennis Courts', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Lawn Sprinklers', u'Yearly Expense Act: Estimated', u'GARAGE: 3 + Car', u'WATER: Well', u'EXTRAS: Central Vacuum', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'OPTIONAL ROOMS: Office', u'ASSOCIATION AMENITIES: Boat Dock', u'EXTRAS: Storage Shed', u'Area: Manteo-N. of Airport Road', u'Subdivision: Heritage Point', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Floor size: 3,004 sqft', u'Parcel #: 024410065', u'Zillow Home ID: 86662544']	http://photos1.zillowstatic.com/p_e/ISds29femroyxi1000000000.jpg	482500.0	[]	3004.0	NC	477219.0	27954	86662544
2.5	3	Kill Devil Hills	[u'Baths: 2 full, 1 half', u'Lot: 1,999 sqft', u'Single Family', u'Built in 1994', u'All time views: 5,433', u'HOA Fee: $141/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $228,000', u'Last sale price/sqft: $134', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Parking: Carport', u'Pool', u'Porch', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'ASSOCIATION AMENITIES: Clubhouse', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'ROADS: Paved', u'WATER: Municipal', u'Association Fee Y: Yes', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'FOUNDATION: Piling', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'Primary Residence (Y: Yes', u'FOUNDATION: Slab', u'LOT DESCRIPTION: Cul-de-sac', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'SEWER: Community Septic', u'Area: Colington', u'Subdivision: Bay Cliff', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Pool Type: Association', u'LA1Agent Phone2 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,702 sqft', u'Heating: Electric', u'Parcel #: 018788131', u'Unit floor #: 0', u'Zillow Home ID: 86657822']	http://photos3.zillowstatic.com/p_e/IStoyjvamc23hp1000000000.jpg	228000.0	[]	1702.0	NC	226548.0	27948	86657822
