baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Como	[u'Lot: 1 acre', u'Single Family', u'Built in 1978', u'102 days on Zillow', u'Views since listing: 1,099', u'All time views: 1,391', u'9 shoppers saved this home', u'Heating: Forced air', u'Last sold: May 2016 for $89,500', u'Last sale price/sqft: $46', u'Flooring: Carpet, Laminate', u'Family room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Floor size: 1,949 sqft', u'Parcel #: 5989-06-3668', u'Zillow Home ID: 113754923']	http://photos2.zillowstatic.com/p_e/IShjm9jkihozd11000000000.jpg	89500.0	[]	1949.0	NC	136539.0	27818	113754923
2.0	3	Como	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1999', u'All time views: 1,737', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $29,900', u'Last sale price/sqft: $21', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Other', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Heating System: Wall Heater', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Appliances: None', u'Drive: Gravel', u'Modular: Multi Section Manufacture', u'County: Hertford', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,456 sqft', u'Laundry: In Unit, Shared', u'Parcel #: 5080-02-0192', u'Zillow Home ID: 106980658']	http://photos3.zillowstatic.com/p_e/ISxrvqaor6t74z0000000000.jpg	29900.0	[]	1456.0	NC	112160.0	27818	106980658
1.0	3	Como	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1970', u'All time views: 1,240', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2015 for $21,000', u'Last sale price/sqft: $19', u'Flooring: Carpet, Linoleum / Vinyl', u'Pool', u'Appliances: Range/Oven Electric', u'Attic: Pull Down Stairs', u'BasementAndFoundation: Crawl Space', u'Construction: Brick Veneer', u'Cooling: Central', u'DiningAndLiving: Living Room', u'Disclosures: Lead Paint', u'None', u'Fencing: None', u'Flooring: Carpet', u'Flooring: Vinyl', u'GarageAndCarport: None-Carport', u'GarageAndCarport: None-Garage', u'HeatingFuel: Electric', u'HeatingFuel: Propane', u'HeatingSystem: Forced Warm Air', u'HoaAmenities: None', u'Master Bedrm 1st Floor', u'Smoke Alarm', u'MiscSearch1: Bedroom 1st Floor', u'MiscSearch2: Less than .5 acres', u'Porch: Stoop', u'Property Type: Single Family', u'Roof: Composition Shingle', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: Community Water System', u'WindowsAndDoors: Storm Doors', u'WindowsAndDoors: Storm Windows', u'Range / Oven', u'Dining room', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,078 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 5979-27-6062', u'Zillow Home ID: 113754341']	http://photos2.zillowstatic.com/p_e/IStwck72liw5300000000000.jpg	21000.0	[]	1078.0	NC	57436.0	27818	113754341
2.5	3	Como	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2006', u'All time views: 2,022', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2014 for $150,100', u'Last sale price/sqft: $75', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,000 sqft', u'Parcel #: 5072-80-8422', u'Unit floor #: 2', u'Zillow Home ID: 106980635']	http://photos1.zillowstatic.com/p_e/ISdo7y2gmnrtou1000000000.jpg	150100.0	[]	2000.0	NC	173630.0	27818	106980635
2.0	3	Como	[u'Lot: 0.69 acres', u'Single Family', u'All time views: 661', u'Heating: Forced air', u'Last sold: Jun 2014 for $77,500', u'Last sale price/sqft: $51', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 1,532 sqft', u'Parcel #: 5072-90-2417', u'Zillow Home ID: 113752274']	http://photos2.zillowstatic.com/p_e/IS5eeu98h22ygf0000000000.jpg	77500.0	[]	1532.0	NC	128431.0	27818	113752274
2.0	3	Como	[u'Lot: 3.05 acres', u'Single Family', u'Built in 2006', u'All time views: 2,823', u'Last sold: May 2014 for $153,000', u'Last sale price/sqft: $82', u'Floor size: 1,869 sqft', u'Zillow Home ID: 2133734998']	http://photos2.zillowstatic.com/p_e/IStcl1j2yyem2a0000000000.jpg	153000.0	[]	1869.0	NC	142213.0	27818	2133734998
1.0	3	Como	[u'Lot: 85 sqft', u'Single Family', u'Built in 1968', u'All time views: 302', u'Last sold: Apr 2014 for $64,000', u'Last sale price/sqft: $63', u'Parking: Carport', u'Floor size: 1,008 sqft', u'Parcel #: 5080-57-4493', u'Zillow Home ID: 113752344']	http://photos1.zillowstatic.com/p_e/IS9tghukajw83v0000000000.jpg	64000.0	[]	1008.0	NC	92409.0	27818	113752344
2.0	3	Como	[u'Lot: 1 acre', u'Single Family', u'Built in 1978', u'102 days on Zillow', u'Views since listing: 1,092', u'All time views: 1,385', u'9 shoppers saved this home', u'Heating: Forced air', u'Last sold: May 2016 for $89,500', u'Last sale price/sqft: $46', u'Flooring: Carpet, Laminate', u'Family room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Floor size: 1,949 sqft', u'Parcel #: 5989-06-3668', u'Zillow Home ID: 113754923']	http://photos2.zillowstatic.com/p_e/IShjm9jkihozd11000000000.jpg	89500.0	[]	1949.0	NC	136539.0	27818	113754923
2.0	3	Como	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1999', u'All time views: 1,729', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $29,900', u'Last sale price/sqft: $21', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Other', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Heating System: Wall Heater', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Appliances: None', u'Drive: Gravel', u'Modular: Multi Section Manufacture', u'County: Hertford', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,456 sqft', u'Laundry: In Unit, Shared', u'Parcel #: 5080-02-0192', u'Zillow Home ID: 106980658']	http://photos3.zillowstatic.com/p_e/ISxrvqaor6t74z0000000000.jpg	29900.0	[]	1456.0	NC	112160.0	27818	106980658
1.0	3	Como	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1970', u'All time views: 1,236', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2015 for $21,000', u'Last sale price/sqft: $19', u'Flooring: Carpet, Linoleum / Vinyl', u'Pool', u'Appliances: Range/Oven Electric', u'Attic: Pull Down Stairs', u'BasementAndFoundation: Crawl Space', u'Construction: Brick Veneer', u'Cooling: Central', u'DiningAndLiving: Living Room', u'Disclosures: Lead Paint', u'None', u'Fencing: None', u'Flooring: Carpet', u'Flooring: Vinyl', u'GarageAndCarport: None-Carport', u'GarageAndCarport: None-Garage', u'HeatingFuel: Electric', u'HeatingFuel: Propane', u'HeatingSystem: Forced Warm Air', u'HoaAmenities: None', u'Master Bedrm 1st Floor', u'Smoke Alarm', u'MiscSearch1: Bedroom 1st Floor', u'MiscSearch2: Less than .5 acres', u'Porch: Stoop', u'Property Type: Single Family', u'Roof: Composition Shingle', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: Community Water System', u'WindowsAndDoors: Storm Doors', u'WindowsAndDoors: Storm Windows', u'Range / Oven', u'Dining room', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,078 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 5979-27-6062', u'Zillow Home ID: 113754341']	http://photos2.zillowstatic.com/p_e/IStwck72liw5300000000000.jpg	21000.0	[]	1078.0	NC	57436.0	27818	113754341
2.5	3	Como	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2006', u'All time views: 2,021', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2014 for $150,100', u'Last sale price/sqft: $75', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,000 sqft', u'Parcel #: 5072-80-8422', u'Unit floor #: 2', u'Zillow Home ID: 106980635']	http://photos1.zillowstatic.com/p_e/ISdo7y2gmnrtou1000000000.jpg	150100.0	[]	2000.0	NC	173630.0	27818	106980635
2.0	3	Como	[u'Lot: 0.69 acres', u'Single Family', u'All time views: 663', u'Heating: Forced air', u'Last sold: Jun 2014 for $77,500', u'Last sale price/sqft: $51', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 1,532 sqft', u'Parcel #: 5072-90-2417', u'Zillow Home ID: 113752274']	http://photos2.zillowstatic.com/p_e/IS5eeu98h22ygf0000000000.jpg	77500.0	[]	1532.0	NC	128431.0	27818	113752274
2.0	3	Como	[u'Lot: 3.05 acres', u'Single Family', u'Built in 2006', u'All time views: 2,824', u'Last sold: May 2014 for $153,000', u'Last sale price/sqft: $82', u'Floor size: 1,869 sqft', u'Zillow Home ID: 2133734998']	http://photos2.zillowstatic.com/p_e/IStcl1j2yyem2a0000000000.jpg	153000.0	[]	1869.0	NC	142213.0	27818	2133734998
1.0	3	Como	[u'Lot: 85 sqft', u'Single Family', u'Built in 1968', u'All time views: 298', u'Last sold: Apr 2014 for $64,000', u'Last sale price/sqft: $63', u'Parking: Carport', u'Floor size: 1,008 sqft', u'Parcel #: 5080-57-4493', u'Zillow Home ID: 113752344']	http://photos1.zillowstatic.com/p_e/IS9tghukajw83v0000000000.jpg	64000.0	[]	1008.0	NC	92409.0	27818	113752344
2.0	3	Como	[u'Lot: 1 acre', u'Single Family', u'Built in 1978', u'102 days on Zillow', u'Views since listing: 1,093', u'All time views: 1,386', u'9 shoppers saved this home', u'Heating: Forced air', u'Last sold: May 2016 for $89,500', u'Last sale price/sqft: $46', u'Flooring: Carpet, Laminate', u'Family room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Floor size: 1,949 sqft', u'Parcel #: 5989-06-3668', u'Zillow Home ID: 113754923']	http://photos2.zillowstatic.com/p_e/IShjm9jkihozd11000000000.jpg	89500.0	[]	1949.0	NC	136539.0	27818	113754923
2.0	3	Como	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1999', u'All time views: 1,736', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $29,900', u'Last sale price/sqft: $21', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Other', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Heating System: Wall Heater', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Appliances: None', u'Drive: Gravel', u'Modular: Multi Section Manufacture', u'County: Hertford', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,456 sqft', u'Laundry: In Unit, Shared', u'Parcel #: 5080-02-0192', u'Zillow Home ID: 106980658']	http://photos3.zillowstatic.com/p_e/ISxrvqaor6t74z0000000000.jpg	29900.0	[]	1456.0	NC	112160.0	27818	106980658
1.0	3	Como	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1970', u'All time views: 1,237', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2015 for $21,000', u'Last sale price/sqft: $19', u'Flooring: Carpet, Linoleum / Vinyl', u'Pool', u'Appliances: Range/Oven Electric', u'Attic: Pull Down Stairs', u'BasementAndFoundation: Crawl Space', u'Construction: Brick Veneer', u'Cooling: Central', u'DiningAndLiving: Living Room', u'Disclosures: Lead Paint', u'None', u'Fencing: None', u'Flooring: Carpet', u'Flooring: Vinyl', u'GarageAndCarport: None-Carport', u'GarageAndCarport: None-Garage', u'HeatingFuel: Electric', u'HeatingFuel: Propane', u'HeatingSystem: Forced Warm Air', u'HoaAmenities: None', u'Master Bedrm 1st Floor', u'Smoke Alarm', u'MiscSearch1: Bedroom 1st Floor', u'MiscSearch2: Less than .5 acres', u'Porch: Stoop', u'Property Type: Single Family', u'Roof: Composition Shingle', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: Community Water System', u'WindowsAndDoors: Storm Doors', u'WindowsAndDoors: Storm Windows', u'Range / Oven', u'Dining room', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,078 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 5979-27-6062', u'Zillow Home ID: 113754341']	http://photos2.zillowstatic.com/p_e/IStwck72liw5300000000000.jpg	21000.0	[]	1078.0	NC	57436.0	27818	113754341
2.5	3	Como	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2006', u'All time views: 2,020', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2014 for $150,100', u'Last sale price/sqft: $75', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,000 sqft', u'Parcel #: 5072-80-8422', u'Unit floor #: 2', u'Zillow Home ID: 106980635']	http://photos1.zillowstatic.com/p_e/ISdo7y2gmnrtou1000000000.jpg	150100.0	[]	2000.0	NC	173630.0	27818	106980635
2.0	3	Como	[u'Lot: 0.69 acres', u'Single Family', u'All time views: 667', u'Heating: Forced air', u'Last sold: Jun 2014 for $77,500', u'Last sale price/sqft: $51', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 1,532 sqft', u'Parcel #: 5072-90-2417', u'Zillow Home ID: 113752274']	http://photos2.zillowstatic.com/p_e/IS5eeu98h22ygf0000000000.jpg	77500.0	[]	1532.0	NC	128431.0	27818	113752274
2.0	3	Como	[u'Lot: 3.05 acres', u'Single Family', u'Built in 2006', u'All time views: 2,826', u'Last sold: May 2014 for $153,000', u'Last sale price/sqft: $82', u'Floor size: 1,869 sqft', u'Zillow Home ID: 2133734998']	http://photos2.zillowstatic.com/p_e/IStcl1j2yyem2a0000000000.jpg	153000.0	[]	1869.0	NC	142213.0	27818	2133734998
1.0	3	Como	[u'Lot: 85 sqft', u'Single Family', u'Built in 1968', u'All time views: 300', u'Last sold: Apr 2014 for $64,000', u'Last sale price/sqft: $63', u'Parking: Carport', u'Floor size: 1,008 sqft', u'Parcel #: 5080-57-4493', u'Zillow Home ID: 113752344']	http://photos1.zillowstatic.com/p_e/IS9tghukajw83v0000000000.jpg	64000.0	[]	1008.0	NC	92409.0	27818	113752344
2.0	3	Como	[u'Lot: 1 acre', u'Single Family', u'Built in 1978', u'102 days on Zillow', u'Views since listing: 1,101', u'All time views: 1,394', u'9 shoppers saved this home', u'Heating: Forced air', u'Last sold: May 2016 for $89,500', u'Last sale price/sqft: $46', u'Flooring: Carpet, Laminate', u'Family room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Floor size: 1,949 sqft', u'Parcel #: 5989-06-3668', u'Zillow Home ID: 113754923']	http://photos2.zillowstatic.com/p_e/IShjm9jkihozd11000000000.jpg	89500.0	[]	1949.0	NC	136539.0	27818	113754923
2.0	3	Como	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1999', u'All time views: 1,738', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $29,900', u'Last sale price/sqft: $21', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Other', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Heating System: Wall Heater', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Appliances: None', u'Drive: Gravel', u'Modular: Multi Section Manufacture', u'County: Hertford', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,456 sqft', u'Laundry: In Unit, Shared', u'Parcel #: 5080-02-0192', u'Zillow Home ID: 106980658']	http://photos3.zillowstatic.com/p_e/ISxrvqaor6t74z0000000000.jpg	29900.0	[]	1456.0	NC	112160.0	27818	106980658
1.0	3	Como	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1970', u'All time views: 1,242', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2015 for $21,000', u'Last sale price/sqft: $19', u'Flooring: Carpet, Linoleum / Vinyl', u'Pool', u'Appliances: Range/Oven Electric', u'Attic: Pull Down Stairs', u'BasementAndFoundation: Crawl Space', u'Construction: Brick Veneer', u'Cooling: Central', u'DiningAndLiving: Living Room', u'Disclosures: Lead Paint', u'None', u'Fencing: None', u'Flooring: Carpet', u'Flooring: Vinyl', u'GarageAndCarport: None-Carport', u'GarageAndCarport: None-Garage', u'HeatingFuel: Electric', u'HeatingFuel: Propane', u'HeatingSystem: Forced Warm Air', u'HoaAmenities: None', u'Master Bedrm 1st Floor', u'Smoke Alarm', u'MiscSearch1: Bedroom 1st Floor', u'MiscSearch2: Less than .5 acres', u'Porch: Stoop', u'Property Type: Single Family', u'Roof: Composition Shingle', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: Community Water System', u'WindowsAndDoors: Storm Doors', u'WindowsAndDoors: Storm Windows', u'Range / Oven', u'Dining room', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,078 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 5979-27-6062', u'Zillow Home ID: 113754341']	http://photos2.zillowstatic.com/p_e/IStwck72liw5300000000000.jpg	21000.0	[]	1078.0	NC	57436.0	27818	113754341
2.5	3	Como	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2006', u'All time views: 2,024', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2014 for $150,100', u'Last sale price/sqft: $75', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,000 sqft', u'Parcel #: 5072-80-8422', u'Unit floor #: 2', u'Zillow Home ID: 106980635']	http://photos1.zillowstatic.com/p_e/ISdo7y2gmnrtou1000000000.jpg	150100.0	[]	2000.0	NC	173630.0	27818	106980635
2.0	3	Como	[u'Lot: 0.69 acres', u'Single Family', u'All time views: 669', u'Heating: Forced air', u'Last sold: Jun 2014 for $77,500', u'Last sale price/sqft: $51', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 1,532 sqft', u'Parcel #: 5072-90-2417', u'Zillow Home ID: 113752274']	http://photos2.zillowstatic.com/p_e/IS5eeu98h22ygf0000000000.jpg	77500.0	[]	1532.0	NC	128431.0	27818	113752274
2.0	3	Como	[u'Lot: 3.05 acres', u'Single Family', u'Built in 2006', u'All time views: 2,830', u'Last sold: May 2014 for $153,000', u'Last sale price/sqft: $82', u'Floor size: 1,869 sqft', u'Zillow Home ID: 2133734998']	http://photos2.zillowstatic.com/p_e/IStcl1j2yyem2a0000000000.jpg	153000.0	[]	1869.0	NC	142213.0	27818	2133734998
1.0	3	Como	[u'Lot: 85 sqft', u'Single Family', u'Built in 1968', u'All time views: 306', u'Last sold: Apr 2014 for $64,000', u'Last sale price/sqft: $63', u'Parking: Carport', u'Floor size: 1,008 sqft', u'Parcel #: 5080-57-4493', u'Zillow Home ID: 113752344']	http://photos1.zillowstatic.com/p_e/IS9tghukajw83v0000000000.jpg	64000.0	[]	1008.0	NC	92409.0	27818	113752344
2.0	3	Como	[u'Lot: 1 acre', u'Single Family', u'Built in 1978', u'102 days on Zillow', u'Views since listing: 1,099', u'All time views: 1,392', u'9 shoppers saved this home', u'Heating: Forced air', u'Last sold: May 2016 for $89,500', u'Last sale price/sqft: $46', u'Flooring: Carpet, Laminate', u'Family room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Floor size: 1,949 sqft', u'Parcel #: 5989-06-3668', u'Zillow Home ID: 113754923']	http://photos2.zillowstatic.com/p_e/IShjm9jkihozd11000000000.jpg	89500.0	[]	1949.0	NC	136539.0	27818	113754923
2.0	3	Como	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1999', u'All time views: 1,734', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $29,900', u'Last sale price/sqft: $21', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Other', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Heating System: Wall Heater', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Appliances: None', u'Drive: Gravel', u'Modular: Multi Section Manufacture', u'County: Hertford', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,456 sqft', u'Laundry: In Unit, Shared', u'Parcel #: 5080-02-0192', u'Zillow Home ID: 106980658']	http://photos3.zillowstatic.com/p_e/ISxrvqaor6t74z0000000000.jpg	29900.0	[]	1456.0	NC	112160.0	27818	106980658
1.0	3	Como	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1970', u'All time views: 1,246', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2015 for $21,000', u'Last sale price/sqft: $19', u'Flooring: Carpet, Linoleum / Vinyl', u'Pool', u'Appliances: Range/Oven Electric', u'Attic: Pull Down Stairs', u'BasementAndFoundation: Crawl Space', u'Construction: Brick Veneer', u'Cooling: Central', u'DiningAndLiving: Living Room', u'Disclosures: Lead Paint', u'None', u'Fencing: None', u'Flooring: Carpet', u'Flooring: Vinyl', u'GarageAndCarport: None-Carport', u'GarageAndCarport: None-Garage', u'HeatingFuel: Electric', u'HeatingFuel: Propane', u'HeatingSystem: Forced Warm Air', u'HoaAmenities: None', u'Master Bedrm 1st Floor', u'Smoke Alarm', u'MiscSearch1: Bedroom 1st Floor', u'MiscSearch2: Less than .5 acres', u'Porch: Stoop', u'Property Type: Single Family', u'Roof: Composition Shingle', u'Style: Ranch', u'Type: Site Built', u'WaterAndSewer: City Sewer', u'WaterAndSewer: Community Water System', u'WindowsAndDoors: Storm Doors', u'WindowsAndDoors: Storm Windows', u'Range / Oven', u'Dining room', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,078 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 5979-27-6062', u'Zillow Home ID: 113754341']	http://photos2.zillowstatic.com/p_e/IStwck72liw5300000000000.jpg	21000.0	[]	1078.0	NC	57436.0	27818	113754341
2.5	3	Como	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2006', u'All time views: 2,028', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2014 for $150,100', u'Last sale price/sqft: $75', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,000 sqft', u'Parcel #: 5072-80-8422', u'Unit floor #: 2', u'Zillow Home ID: 106980635']	http://photos1.zillowstatic.com/p_e/ISdo7y2gmnrtou1000000000.jpg	150100.0	[]	2000.0	NC	173630.0	27818	106980635
2.0	3	Como	[u'Lot: 0.69 acres', u'Single Family', u'All time views: 671', u'Heating: Forced air', u'Last sold: Jun 2014 for $77,500', u'Last sale price/sqft: $51', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 1,532 sqft', u'Parcel #: 5072-90-2417', u'Zillow Home ID: 113752274']	http://photos2.zillowstatic.com/p_e/IS5eeu98h22ygf0000000000.jpg	77500.0	[]	1532.0	NC	128431.0	27818	113752274
2.0	3	Como	[u'Lot: 3.05 acres', u'Single Family', u'Built in 2006', u'All time views: 2,828', u'Last sold: May 2014 for $153,000', u'Last sale price/sqft: $82', u'Floor size: 1,869 sqft', u'Zillow Home ID: 2133734998']	http://photos2.zillowstatic.com/p_e/IStcl1j2yyem2a0000000000.jpg	153000.0	[]	1869.0	NC	142213.0	27818	2133734998
1.0	3	Como	[u'Lot: 85 sqft', u'Single Family', u'Built in 1968', u'All time views: 304', u'Last sold: Apr 2014 for $64,000', u'Last sale price/sqft: $63', u'Parking: Carport', u'Floor size: 1,008 sqft', u'Parcel #: 5080-57-4493', u'Zillow Home ID: 113752344']	http://photos1.zillowstatic.com/p_e/IS9tghukajw83v0000000000.jpg	64000.0	[]	1008.0	NC	92409.0	27818	113752344
