baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	2	Hobgood	[u'Lot: 1.61 acres', u'Single Family', u'Built in 1955', u'All time views: 799', u'Heating: Forced air', u'Last sold: May 2016 for $77,000', u'Last sale price/sqft: $67', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Garage: None-Garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'County: Edgecombe', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Garage: None-Carport', u'Subdivision: A', u'Miscellaneous: County', u'Precautions: Above Ground Tank', u'Dirt Drive', u'Ownership: Co-Ownership', u'Range / Oven', u'Refrigerator', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,148 sqft', u'Last remodel year: 1975', u'Parcel #: 477868394700', u'Zillow Home ID: 68683411']	http://photos1.zillowstatic.com/p_e/ISxj9gt3opnsys0000000000.jpg	77000.0	[]	1148.0	NC	71300.0	27843	68683411
1.5	4	Hobgood	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1976', u'All time views: 834', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $12,000', u'Last sale price/sqft: $9', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Type: One Story', u'Attic: Access Only', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'Construction: Vinyl Trim', u'Reservoir: None', u'Ownership: Individual', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Type: Traditional', u'Appliances: None', u'County: Edgecombe', u'Storage Building Detached', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Water: Well Water', u'Water: Septic Tank', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Dirt Drive', u'Roof: Storm Windows', u'Electricity: LP Gas', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,274 sqft', u'Last remodel year: 1976', u'Parcel #: 486185493700', u'Zillow Home ID: 112891941']	http://photos3.zillowstatic.com/p_e/ISt47tw17qwi7u0000000000.jpg	12000.0	[]	1274.0	NC	61816.0	27843	112891941
2.0	2	Hobgood	[u'Lot: 1.61 acres', u'Single Family', u'Built in 1955', u'All time views: 801', u'Heating: Forced air', u'Last sold: May 2016 for $77,000', u'Last sale price/sqft: $67', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Garage: None-Garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'County: Edgecombe', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Garage: None-Carport', u'Subdivision: A', u'Miscellaneous: County', u'Precautions: Above Ground Tank', u'Dirt Drive', u'Ownership: Co-Ownership', u'Range / Oven', u'Refrigerator', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,148 sqft', u'Last remodel year: 1975', u'Parcel #: 477868394700', u'Zillow Home ID: 68683411']	http://photos1.zillowstatic.com/p_e/ISxj9gt3opnsys0000000000.jpg	77000.0	[]	1148.0	NC	71300.0	27843	68683411
1.5	4	Hobgood	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1976', u'All time views: 835', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $12,000', u'Last sale price/sqft: $9', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Type: One Story', u'Attic: Access Only', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'Construction: Vinyl Trim', u'Reservoir: None', u'Ownership: Individual', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Type: Traditional', u'Appliances: None', u'County: Edgecombe', u'Storage Building Detached', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Water: Well Water', u'Water: Septic Tank', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Dirt Drive', u'Roof: Storm Windows', u'Electricity: LP Gas', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,274 sqft', u'Last remodel year: 1976', u'Parcel #: 486185493700', u'Zillow Home ID: 112891941']	http://photos3.zillowstatic.com/p_e/ISt47tw17qwi7u0000000000.jpg	12000.0	[]	1274.0	NC	61816.0	27843	112891941
2.0	2	Hobgood	[u'Lot: 1.61 acres', u'Single Family', u'Built in 1955', u'All time views: 790', u'Heating: Forced air', u'Last sold: May 2016 for $77,000', u'Last sale price/sqft: $67', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Garage: None-Garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'County: Edgecombe', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Garage: None-Carport', u'Subdivision: A', u'Miscellaneous: County', u'Precautions: Above Ground Tank', u'Dirt Drive', u'Ownership: Co-Ownership', u'Range / Oven', u'Refrigerator', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,148 sqft', u'Last remodel year: 1975', u'Parcel #: 477868394700', u'Zillow Home ID: 68683411']	http://photos1.zillowstatic.com/p_e/ISxj9gt3opnsys0000000000.jpg	77000.0	[]	1148.0	NC	71300.0	27843	68683411
1.5	4	Hobgood	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1976', u'All time views: 831', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $12,000', u'Last sale price/sqft: $9', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Type: One Story', u'Attic: Access Only', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'Construction: Vinyl Trim', u'Reservoir: None', u'Ownership: Individual', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Type: Traditional', u'Appliances: None', u'County: Edgecombe', u'Storage Building Detached', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Water: Well Water', u'Water: Septic Tank', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Dirt Drive', u'Roof: Storm Windows', u'Electricity: LP Gas', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,274 sqft', u'Last remodel year: 1976', u'Parcel #: 486185493700', u'Zillow Home ID: 112891941']	http://photos3.zillowstatic.com/p_e/ISt47tw17qwi7u0000000000.jpg	12000.0	[]	1274.0	NC	61816.0	27843	112891941
2.0	2	Hobgood	[u'Lot: 1.61 acres', u'Single Family', u'Built in 1955', u'All time views: 791', u'Heating: Forced air', u'Last sold: May 2016 for $77,000', u'Last sale price/sqft: $67', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Garage: None-Garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'County: Edgecombe', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Garage: None-Carport', u'Subdivision: A', u'Miscellaneous: County', u'Precautions: Above Ground Tank', u'Dirt Drive', u'Ownership: Co-Ownership', u'Range / Oven', u'Refrigerator', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,148 sqft', u'Last remodel year: 1975', u'Parcel #: 477868394700', u'Zillow Home ID: 68683411']	http://photos1.zillowstatic.com/p_e/ISxj9gt3opnsys0000000000.jpg	77000.0	[]	1148.0	NC	71300.0	27843	68683411
1.5	4	Hobgood	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1976', u'All time views: 830', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $12,000', u'Last sale price/sqft: $9', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Type: One Story', u'Attic: Access Only', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'Construction: Vinyl Trim', u'Reservoir: None', u'Ownership: Individual', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Type: Traditional', u'Appliances: None', u'County: Edgecombe', u'Storage Building Detached', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Water: Well Water', u'Water: Septic Tank', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Dirt Drive', u'Roof: Storm Windows', u'Electricity: LP Gas', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,274 sqft', u'Last remodel year: 1976', u'Parcel #: 486185493700', u'Zillow Home ID: 112891941']	http://photos3.zillowstatic.com/p_e/ISt47tw17qwi7u0000000000.jpg	12000.0	[]	1274.0	NC	61816.0	27843	112891941
2.0	2	Hobgood	[u'Lot: 1.61 acres', u'Single Family', u'Built in 1955', u'All time views: 795', u'Heating: Forced air', u'Last sold: May 2016 for $77,000', u'Last sale price/sqft: $67', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Garage: None-Garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'County: Edgecombe', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Garage: None-Carport', u'Subdivision: A', u'Miscellaneous: County', u'Precautions: Above Ground Tank', u'Dirt Drive', u'Ownership: Co-Ownership', u'Range / Oven', u'Refrigerator', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,148 sqft', u'Last remodel year: 1975', u'Parcel #: 477868394700', u'Zillow Home ID: 68683411']	http://photos1.zillowstatic.com/p_e/ISxj9gt3opnsys0000000000.jpg	77000.0	[]	1148.0	NC	71300.0	27843	68683411
1.5	4	Hobgood	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1976', u'All time views: 821', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $12,000', u'Last sale price/sqft: $9', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Type: One Story', u'Attic: Access Only', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'Construction: Vinyl Trim', u'Reservoir: None', u'Ownership: Individual', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Type: Traditional', u'Appliances: None', u'County: Edgecombe', u'Storage Building Detached', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Water: Well Water', u'Water: Septic Tank', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Dirt Drive', u'Roof: Storm Windows', u'Electricity: LP Gas', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,274 sqft', u'Last remodel year: 1976', u'Parcel #: 486185493700', u'Zillow Home ID: 112891941']	http://photos3.zillowstatic.com/p_e/ISt47tw17qwi7u0000000000.jpg	12000.0	[]	1274.0	NC	61816.0	27843	112891941
2.0	2	Hobgood	[u'Lot: 1.61 acres', u'Single Family', u'Built in 1955', u'All time views: 793', u'Heating: Forced air', u'Last sold: May 2016 for $77,000', u'Last sale price/sqft: $67', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Garage: None-Garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'County: Edgecombe', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Garage: None-Carport', u'Subdivision: A', u'Miscellaneous: County', u'Precautions: Above Ground Tank', u'Dirt Drive', u'Ownership: Co-Ownership', u'Range / Oven', u'Refrigerator', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,148 sqft', u'Last remodel year: 1975', u'Parcel #: 477868394700', u'Zillow Home ID: 68683411']	http://photos1.zillowstatic.com/p_e/ISxj9gt3opnsys0000000000.jpg	77000.0	[]	1148.0	NC	71300.0	27843	68683411
1.5	4	Hobgood	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1976', u'All time views: 822', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2015 for $12,000', u'Last sale price/sqft: $9', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Type: One Story', u'Attic: Access Only', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'Construction: Vinyl Trim', u'Reservoir: None', u'Ownership: Individual', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Type: Traditional', u'Appliances: None', u'County: Edgecombe', u'Storage Building Detached', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Water: Well Water', u'Water: Septic Tank', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Dirt Drive', u'Roof: Storm Windows', u'Electricity: LP Gas', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,274 sqft', u'Last remodel year: 1976', u'Parcel #: 486185493700', u'Zillow Home ID: 112891941']	http://photos3.zillowstatic.com/p_e/ISt47tw17qwi7u0000000000.jpg	12000.0	[]	1274.0	NC	61816.0	27843	112891941
2.0	2	Hobgood	[u'Lot: 1.61 acres', u'Single Family', u'Built in 1955', u'All time views: 803', u'Heating: Forced air', u'Last sold: May 2016 for $77,000', u'Last sale price/sqft: $67', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Garage: None-Garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'None', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'County: Edgecombe', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Vinyl', u'Garage: None-Carport', u'Subdivision: A', u'Miscellaneous: County', u'Precautions: Above Ground Tank', u'Dirt Drive', u'Ownership: Co-Ownership', u'Range / Oven', u'Refrigerator', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,148 sqft', u'Last remodel year: 1975', u'Parcel #: 477868394700', u'Zillow Home ID: 68683411']	http://photos1.zillowstatic.com/p_e/ISxj9gt3opnsys0000000000.jpg	77000.0	[]	1148.0	NC	71300.0	27843	68683411
