baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	4	Enfield	[u'Lot: 5.75 acres', u'Single Family', u'Built in 2003', u'All time views: 915', u'Heating: Forced air', u'Last sold: Oct 2015 for $61,000', u'Last sale price/sqft: $42', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Garage: None-Garage', u'Appliances: None', u'None', u'Sewer: Septic', u'Foundation: Crawl Space', u'Misc Info: None', u'Windows: Storm-All', u'A: None', u'Garage: None-Carport', u'Basement: None', u'Construction: Mobile Home-Double', u'Style: 1 Story', u'Views: None', u'Water: Community Water', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,456 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2102293869']	http://photos3.zillowstatic.com/p_e/ISli0vp85360ou0000000000.jpg	61000.0	[]	1456.0	NC	87384.0	27823	2102293869
1.0	2	Enfield	[u'Lot: 0.47 acres', u'Single Family', u'Built in 1955', u'All time views: 1,250', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2015 for $41,000', u'Last sale price/sqft: $40', u'Cable Ready', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Detached, 1 space', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Appliances: None', u'Views: Neighborhood', u'A: Central', u'Foundation: Crawl Space', u'Water Amenities: None', u'Windows: Storm-All', u'Doors: Storm-All', u'Basement: None', u'Misc Info: Public Park in Area', u'Style: 1 Story', u'Attic: Permanent Stairs', u'Attic: Partially Floored', u'Washer', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,029 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0401278', u'Zillow Home ID: 84187556']	http://photos3.zillowstatic.com/p_e/IS91j4wl7740hc0000000000.jpg	41000.0	[]	1029.0	NC	40016.0	27823	84187556
1.5	3	Enfield	[u'Lot: 0.86 acres', u'Single Family', u'Built in 1961', u'All time views: 914', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2015 for $85,000', u'Last sale price/sqft: $57', u'Cable Ready', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Attached, Garage - Detached, 4 spaces', u'Patio', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Views: Scenic', u'Views: Neighborhood', u'Foundation: Crawl Space', u'Smoke Alarm', u'Paved Road', u'Irrigation System', u'Windows: Storm-All', u'Doors: Storm-All', u'Basement: None', u'Misc Info: Public Park in Area', u'Play Area', u'Style: Ranch', u'Style: 1 Story', u'Attic: Pull-down Stairs', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Brick, Cement concrete', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,488 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0400413', u'Zillow Home ID: 84187918']	http://photos2.zillowstatic.com/p_e/ISpdrzgaxiossa0000000000.jpg	85000.0	[]	1488.0	NC	79505.0	27823	84187918
2.0	3	Enfield	[u'Lot: 0.38 acres', u'Single Family', u'Built in 1966', u'All time views: 202', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2015 for $111,000', u'Last sale price/sqft: $58', u'Cable Ready', u'Fireplace', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Property Type: Vacation', u'Construction: Site Built', u'Exterior: Brick', u'Style: Traditional', u'Views: Neighborhood', u'Roof: Composition Shingle', u'A: Central', u'Garage: Double Attached Carport', u'Foundation: Crawl Space', u'Porch: Patio', u'Appliances: Refrigerator', u'Appliances: Dishwasher', u'Appliances: Microwave', u'Fireplace: Living Room', u'Fireplace: Family Room', u'Walk-in Closet(s)', u'Work Island', u'Smoke Alarm', u'Paved Road', u'or Dryer Hookup', u'Water Amenities: None', u'Roof: 1-5 Years', u'Doors: Storm-All', u'Porch: Rear', u'Basement: None', u'Appliances: Oven-Gas', u'Garden Space', u'Misc Info: Public Park in Area', u'Style: Ranch', u'Gravel Drive', u'Style: 1 Story', u'Cable TV Available', u'Heating: Gas', u'Attic: Floored', u'Attic: Pull-down Stairs', u'Fencing: Wood', u'Porch: Stoop', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,918 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0400620', u'Zillow Home ID: 84188004']	http://photos3.zillowstatic.com/p_e/ISlaaxjue9nsud1000000000.jpg	111000.0	[]	1918.0	NC	78938.0	27823	84188004
2.5	2	Enfield	[u'Lot: 2 acres', u'Single Family', u'Built in 1955', u'All time views: 1,516', u'Cooling: Central', u'Heating: Other', u'Last sold: Oct 2014 for $77,500', u'Last sale price/sqft: $34', u'Exterior material: Other', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,258 sqft', u'Parcel #: 0405549', u'Zillow Home ID: 86678750']	http://photos1.zillowstatic.com/p_e/ISdcyukgq62i2b1000000000.jpg	77500.0	[]	2258.0	NC	122431.0	27823	86678750
2.5	3	Enfield	[u'Baths: 2 full, 1 half', u'Lot: 0.77 acres', u'Single Family', u'Built in 1987', u'47 days on Zillow', u'Views since listing: 691', u'All time views: 3,711', u'8 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $30,250', u'Last sale price/sqft: $21', u'MLS #: 100351', u'Cable Ready', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Other', u'Parking: Garage - Detached', u'Porch', u'Wired', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Water: City Water', u'Water: City Sewer', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'Rooms: Eat-in', u'Type: Ranch', u'Construction: Brick', u'Miscellaneous: City', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Workshop', u'Attic: Pull-down Stairs', u'Garage: None-Carport', u'Miscellaneous: Warranty Program', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Fencing: None', u'Precautions: Above Ground Tank', u'Roof: Storm Windows', u'Heating-Dn: Hot Water Down', u'Granite', u'County: Halifax', u'Electricity: Halifax Electric', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Dining room', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Floor size: 1,440 sqft', u'Zillow Home ID: 2103099611']	http://photos1.zillowstatic.com/p_e/ISmikmssi561hw1000000000.jpg	30250.0	[]	1440.0	NC	81343.0	27823	2103099611
2.0	5	Enfield	[u'Lot: 1 acre', u'Single Family', u'Built in 1922', u'All time views: 1,848', u'Heating: Other', u'Last sold: Jan 2016 for $99,100', u'Last sale price/sqft: $46', u'Exterior material: Cement concrete', u'Room count: 9', u'Stories: 1.5', u'Unit count: 1', u'Floor size: 2,133 sqft', u'Parcel #: 0401603', u'Zillow Home ID: 84187618']	http://photos1.zillowstatic.com/p_e/IS999m9vmn8nbl1000000000.jpg	99100.0	[]	2133.0	NC	84469.0	27823	84187618
5.0	6	Enfield	[u'Baths: 4 full, 2 half', u'Lot: 1 acre', u'Single Family', u'Built in 1912', u'All time views: 5,325', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2015 for $185,000', u'Last sale price/sqft: $37', u'Cable Ready', u'Fireplace', u'Flooring: Hardwood, Laminate, Tile', u'Garden', u'Parking: Garage - Detached, 2 spaces', u'Porch', u'Security System', u'Water: City Water', u'Sewer: County Sewer', u'Appliances: Other-See Remarks', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Heating: Oil', u'Basement: Partial', u'Fireplace: Other-See Remarks', u'Views: Neighborhood', u'Foundation: Block', u'Garage Door Opener', u'Asphalt Drive', u'Smoke Alarm', u'Paved Road', u'Open Foyer', u'Windows: Storm-All', u'Doors: Storm-All', u'Play Area', u'Attic: Floored', u'Attic: Pull-down Stairs', u'A: Window Unit', u'Misc Info: Historic Property', u'Wheelchair Accessible', u'Garage: Guest Suite', u'Exterior: Siding-Aluminum', u'Attic: Attic Fan', u'Flooring: Parquet', u'Mother-in-Law Suite', u'Foundation: Pilings', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Brick, Vinyl, Wood', u'Roof type: Composition', u'Room count: 11', u'Stories: 0', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 5,000 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0401475', u'Zillow Home ID: 93035683']	http://photos2.zillowstatic.com/p_e/ISt4v7wxup3drb1000000000.jpg	185000.0	[]	5000.0	NC	194901.0	27823	93035683
1.5	3	Enfield	[u'Baths: 1 full, 1 half', u'Lot: 1.48 acres', u'Single Family', u'Built in 1940', u'All time views: 2,887', u'Cooling: Central', u'Heating: Baseboard, Forced air, Heat pump', u'Last sold: Nov 2015 for $34,100', u'Last sale price/sqft: $16', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Security System', u'Type: One Story', u'Attic: Access Only', u'Basement: Crawlspace', u'Rooms: Living Room', u'Reservoir: None', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Aluminum', u'Water: Well Water', u'Water: Septic Tank', u'Rooms: Utility Room', u'Miscellaneous: County', u'Built-in Bookcases', u'Fencing: None', u'Gravel Drive', u'Trash: Private Service', u'Water: County Water', u'Ownership: Bank Owned', u'Electricity: LP Gas', u'County: Halifax', u'Range / Oven', u'Refrigerator', u'Dining room', u'Sun room', u'Exterior material: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,084 sqft', u'Parcel #: 0405394', u'Zillow Home ID: 84187985']	http://photos1.zillowstatic.com/p_e/IS1rtzcs0g5iui0000000000.jpg	34100.0	[]	2084.0	NC	79959.0	27823	84187985
2.0	4	Enfield	[u'Lot: 5.75 acres', u'Single Family', u'Built in 2003', u'All time views: 914', u'Heating: Forced air', u'Last sold: Oct 2015 for $61,000', u'Last sale price/sqft: $42', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Garage: None-Garage', u'Appliances: None', u'None', u'Sewer: Septic', u'Foundation: Crawl Space', u'Misc Info: None', u'Windows: Storm-All', u'A: None', u'Garage: None-Carport', u'Basement: None', u'Construction: Mobile Home-Double', u'Style: 1 Story', u'Views: None', u'Water: Community Water', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,456 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2102293869']	http://photos3.zillowstatic.com/p_e/ISli0vp85360ou0000000000.jpg	61000.0	[]	1456.0	NC	87384.0	27823	2102293869
1.0	2	Enfield	[u'Lot: 0.47 acres', u'Single Family', u'Built in 1955', u'All time views: 1,254', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2015 for $41,000', u'Last sale price/sqft: $40', u'Cable Ready', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Detached, 1 space', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Appliances: None', u'Views: Neighborhood', u'A: Central', u'Foundation: Crawl Space', u'Water Amenities: None', u'Windows: Storm-All', u'Doors: Storm-All', u'Basement: None', u'Misc Info: Public Park in Area', u'Style: 1 Story', u'Attic: Permanent Stairs', u'Attic: Partially Floored', u'Washer', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,029 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0401278', u'Zillow Home ID: 84187556']	http://photos3.zillowstatic.com/p_e/IS91j4wl7740hc0000000000.jpg	41000.0	[]	1029.0	NC	40016.0	27823	84187556
1.5	3	Enfield	[u'Lot: 0.86 acres', u'Single Family', u'Built in 1961', u'All time views: 918', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2015 for $85,000', u'Last sale price/sqft: $57', u'Cable Ready', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Attached, Garage - Detached, 4 spaces', u'Patio', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Views: Scenic', u'Views: Neighborhood', u'Foundation: Crawl Space', u'Smoke Alarm', u'Paved Road', u'Irrigation System', u'Windows: Storm-All', u'Doors: Storm-All', u'Basement: None', u'Misc Info: Public Park in Area', u'Play Area', u'Style: Ranch', u'Style: 1 Story', u'Attic: Pull-down Stairs', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Brick, Cement concrete', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,488 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0400413', u'Zillow Home ID: 84187918']	http://photos2.zillowstatic.com/p_e/ISpdrzgaxiossa0000000000.jpg	85000.0	[]	1488.0	NC	79505.0	27823	84187918
2.0	3	Enfield	[u'Lot: 0.38 acres', u'Single Family', u'Built in 1966', u'All time views: 204', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2015 for $111,000', u'Last sale price/sqft: $58', u'Cable Ready', u'Fireplace', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Property Type: Vacation', u'Construction: Site Built', u'Exterior: Brick', u'Style: Traditional', u'Views: Neighborhood', u'Roof: Composition Shingle', u'A: Central', u'Garage: Double Attached Carport', u'Foundation: Crawl Space', u'Porch: Patio', u'Appliances: Refrigerator', u'Appliances: Dishwasher', u'Appliances: Microwave', u'Fireplace: Living Room', u'Fireplace: Family Room', u'Walk-in Closet(s)', u'Work Island', u'Smoke Alarm', u'Paved Road', u'or Dryer Hookup', u'Water Amenities: None', u'Roof: 1-5 Years', u'Doors: Storm-All', u'Porch: Rear', u'Basement: None', u'Appliances: Oven-Gas', u'Garden Space', u'Misc Info: Public Park in Area', u'Style: Ranch', u'Gravel Drive', u'Style: 1 Story', u'Cable TV Available', u'Heating: Gas', u'Attic: Floored', u'Attic: Pull-down Stairs', u'Fencing: Wood', u'Porch: Stoop', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,918 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0400620', u'Zillow Home ID: 84188004']	http://photos3.zillowstatic.com/p_e/ISlaaxjue9nsud1000000000.jpg	111000.0	[]	1918.0	NC	78938.0	27823	84188004
2.5	2	Enfield	[u'Lot: 2 acres', u'Single Family', u'Built in 1955', u'All time views: 1,522', u'Cooling: Central', u'Heating: Other', u'Last sold: Oct 2014 for $77,500', u'Last sale price/sqft: $34', u'Exterior material: Other', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,258 sqft', u'Parcel #: 0405549', u'Zillow Home ID: 86678750']	http://photos1.zillowstatic.com/p_e/ISdcyukgq62i2b1000000000.jpg	77500.0	[]	2258.0	NC	122431.0	27823	86678750
2.5	3	Enfield	[u'Baths: 2 full, 1 half', u'Lot: 0.77 acres', u'Single Family', u'Built in 1987', u'47 days on Zillow', u'Views since listing: 695', u'All time views: 3,716', u'8 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $30,250', u'Last sale price/sqft: $21', u'MLS #: 100351', u'Cable Ready', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Other', u'Parking: Garage - Detached', u'Porch', u'Wired', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Water: City Water', u'Water: City Sewer', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'Rooms: Eat-in', u'Type: Ranch', u'Construction: Brick', u'Miscellaneous: City', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Workshop', u'Attic: Pull-down Stairs', u'Garage: None-Carport', u'Miscellaneous: Warranty Program', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Fencing: None', u'Precautions: Above Ground Tank', u'Roof: Storm Windows', u'Heating-Dn: Hot Water Down', u'Granite', u'County: Halifax', u'Electricity: Halifax Electric', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Dining room', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Floor size: 1,440 sqft', u'Zillow Home ID: 2103099611']	http://photos1.zillowstatic.com/p_e/ISmikmssi561hw1000000000.jpg	30250.0	[]	1440.0	NC	81343.0	27823	2103099611
2.0	5	Enfield	[u'Lot: 1 acre', u'Single Family', u'Built in 1922', u'All time views: 1,843', u'Heating: Other', u'Last sold: Jan 2016 for $99,100', u'Last sale price/sqft: $46', u'Exterior material: Cement concrete', u'Room count: 9', u'Stories: 1.5', u'Unit count: 1', u'Floor size: 2,133 sqft', u'Parcel #: 0401603', u'Zillow Home ID: 84187618']	http://photos1.zillowstatic.com/p_e/IS999m9vmn8nbl1000000000.jpg	99100.0	[]	2133.0	NC	84469.0	27823	84187618
5.0	6	Enfield	[u'Baths: 4 full, 2 half', u'Lot: 1 acre', u'Single Family', u'Built in 1912', u'All time views: 5,327', u'Cooling: Other', u'Heating: Other', u'Last sold: Dec 2015 for $185,000', u'Last sale price/sqft: $37', u'Cable Ready', u'Fireplace', u'Flooring: Hardwood, Laminate, Tile', u'Garden', u'Parking: Garage - Detached, 2 spaces', u'Porch', u'Security System', u'Water: City Water', u'Sewer: County Sewer', u'Appliances: Other-See Remarks', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Heating: Oil', u'Basement: Partial', u'Fireplace: Other-See Remarks', u'Views: Neighborhood', u'Foundation: Block', u'Garage Door Opener', u'Asphalt Drive', u'Smoke Alarm', u'Paved Road', u'Open Foyer', u'Windows: Storm-All', u'Doors: Storm-All', u'Play Area', u'Attic: Floored', u'Attic: Pull-down Stairs', u'A: Window Unit', u'Misc Info: Historic Property', u'Wheelchair Accessible', u'Garage: Guest Suite', u'Exterior: Siding-Aluminum', u'Attic: Attic Fan', u'Flooring: Parquet', u'Mother-in-Law Suite', u'Foundation: Pilings', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Brick, Vinyl, Wood', u'Roof type: Composition', u'Room count: 11', u'Stories: 0', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 5,000 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0401475', u'Zillow Home ID: 93035683']	http://photos2.zillowstatic.com/p_e/ISt4v7wxup3drb1000000000.jpg	185000.0	[]	5000.0	NC	194901.0	27823	93035683
1.5	3	Enfield	[u'Baths: 1 full, 1 half', u'Lot: 1.48 acres', u'Single Family', u'Built in 1940', u'All time views: 2,880', u'Cooling: Central', u'Heating: Baseboard, Forced air, Heat pump', u'Last sold: Nov 2015 for $34,100', u'Last sale price/sqft: $16', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Security System', u'Type: One Story', u'Attic: Access Only', u'Basement: Crawlspace', u'Rooms: Living Room', u'Reservoir: None', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Precautions: Lead Paint (pre 1978)', u'Construction: Siding-Aluminum', u'Water: Well Water', u'Water: Septic Tank', u'Rooms: Utility Room', u'Miscellaneous: County', u'Built-in Bookcases', u'Fencing: None', u'Gravel Drive', u'Trash: Private Service', u'Water: County Water', u'Ownership: Bank Owned', u'Electricity: LP Gas', u'County: Halifax', u'Range / Oven', u'Refrigerator', u'Dining room', u'Sun room', u'Exterior material: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,084 sqft', u'Parcel #: 0405394', u'Zillow Home ID: 84187985']	http://photos1.zillowstatic.com/p_e/IS1rtzcs0g5iui0000000000.jpg	34100.0	[]	2084.0	NC	79959.0	27823	84187985
2.0	4	Enfield	[u'Lot: 5.75 acres', u'Single Family', u'Built in 2003', u'All time views: 912', u'Heating: Forced air', u'Last sold: Oct 2015 for $61,000', u'Last sale price/sqft: $42', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Garage: None-Garage', u'Appliances: None', u'None', u'Sewer: Septic', u'Foundation: Crawl Space', u'Misc Info: None', u'Windows: Storm-All', u'A: None', u'Garage: None-Carport', u'Basement: None', u'Construction: Mobile Home-Double', u'Style: 1 Story', u'Views: None', u'Water: Community Water', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,456 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2102293869']	http://photos3.zillowstatic.com/p_e/ISli0vp85360ou0000000000.jpg	61000.0	[]	1456.0	NC	87384.0	27823	2102293869
1.0	2	Enfield	[u'Lot: 0.47 acres', u'Single Family', u'Built in 1955', u'All time views: 1,252', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2015 for $41,000', u'Last sale price/sqft: $40', u'Cable Ready', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Detached, 1 space', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Appliances: None', u'Views: Neighborhood', u'A: Central', u'Foundation: Crawl Space', u'Water Amenities: None', u'Windows: Storm-All', u'Doors: Storm-All', u'Basement: None', u'Misc Info: Public Park in Area', u'Style: 1 Story', u'Attic: Permanent Stairs', u'Attic: Partially Floored', u'Washer', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,029 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0401278', u'Zillow Home ID: 84187556']	http://photos3.zillowstatic.com/p_e/IS91j4wl7740hc0000000000.jpg	41000.0	[]	1029.0	NC	40016.0	27823	84187556
1.5	3	Enfield	[u'Lot: 0.86 acres', u'Single Family', u'Built in 1961', u'All time views: 920', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2015 for $85,000', u'Last sale price/sqft: $57', u'Cable Ready', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Attached, Garage - Detached, 4 spaces', u'Patio', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Views: Scenic', u'Views: Neighborhood', u'Foundation: Crawl Space', u'Smoke Alarm', u'Paved Road', u'Irrigation System', u'Windows: Storm-All', u'Doors: Storm-All', u'Basement: None', u'Misc Info: Public Park in Area', u'Play Area', u'Style: Ranch', u'Style: 1 Story', u'Attic: Pull-down Stairs', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Brick, Cement concrete', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,488 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0400413', u'Zillow Home ID: 84187918']	http://photos2.zillowstatic.com/p_e/ISpdrzgaxiossa0000000000.jpg	85000.0	[]	1488.0	NC	79505.0	27823	84187918
2.0	3	Enfield	[u'Lot: 0.38 acres', u'Single Family', u'Built in 1966', u'All time views: 205', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2015 for $111,000', u'Last sale price/sqft: $58', u'Cable Ready', u'Fireplace', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Property Type: Vacation', u'Construction: Site Built', u'Exterior: Brick', u'Style: Traditional', u'Views: Neighborhood', u'Roof: Composition Shingle', u'A: Central', u'Garage: Double Attached Carport', u'Foundation: Crawl Space', u'Porch: Patio', u'Appliances: Refrigerator', u'Appliances: Dishwasher', u'Appliances: Microwave', u'Fireplace: Living Room', u'Fireplace: Family Room', u'Walk-in Closet(s)', u'Work Island', u'Smoke Alarm', u'Paved Road', u'or Dryer Hookup', u'Water Amenities: None', u'Roof: 1-5 Years', u'Doors: Storm-All', u'Porch: Rear', u'Basement: None', u'Appliances: Oven-Gas', u'Garden Space', u'Misc Info: Public Park in Area', u'Style: Ranch', u'Gravel Drive', u'Style: 1 Story', u'Cable TV Available', u'Heating: Gas', u'Attic: Floored', u'Attic: Pull-down Stairs', u'Fencing: Wood', u'Porch: Stoop', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,918 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0400620', u'Zillow Home ID: 84188004']	http://photos3.zillowstatic.com/p_e/ISlaaxjue9nsud1000000000.jpg	111000.0	[]	1918.0	NC	78938.0	27823	84188004
2.5	2	Enfield	[u'Lot: 2 acres', u'Single Family', u'Built in 1955', u'All time views: 1,521', u'Cooling: Central', u'Heating: Other', u'Last sold: Oct 2014 for $77,500', u'Last sale price/sqft: $34', u'Exterior material: Other', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,258 sqft', u'Parcel #: 0405549', u'Zillow Home ID: 86678750']	http://photos1.zillowstatic.com/p_e/ISdcyukgq62i2b1000000000.jpg	77500.0	[]	2258.0	NC	122431.0	27823	86678750
