baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	4	Conway	[u'Lot: 0.26 acres', u'Single Family', u'Built in 2012', u'All time views: 1,422', u'Heating: Other', u'Last sold: Nov 2014 for $105,000', u'Last sale price/sqft: $61', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,728 sqft', u'Heating: Other', u'Parcel #: 03-01062', u'Zillow Home ID: 114834543']	http://photos2.zillowstatic.com/p_e/ISdw5mq7ectya30000000000.jpg	105000.0	[]	1728.0	NC	88178.0	27820	114834543
1.5	3	Conway	[u'Lot: 10,454 sqft', u'Single Family', u'Built in 1979', u'All time views: 603', u'Cooling: Other', u'Heating: Other', u'Last sold: Nov 2014 for $11,500', u'Last sale price/sqft: $11', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,077 sqft', u'Heating: Other', u'Parcel #: 03-00068', u'Zillow Home ID: 114835618']	http://photos1.zillowstatic.com/p_e/ISp16bqkeo8w8t1000000000.jpg	11500.0	[]	1077.0	NC	58277.0	27820	114835618
1.0	3	Conway	[u'Lot: 0.53 acres', u'Single Family', u'Built in 1971', u'All time views: 521', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $78,000', u'Last sale price/sqft: $43', u'Fireplace', u'Foundation type: Concrete', u'Room count: 6', u'Stories: 1', u'Floor size: 1,800 sqft', u'Heating: Other', u'Parcel #: 03-02074', u'Zillow Home ID: 114834942']	http://photos2.zillowstatic.com/p_e/ISdsaj8uge93wm0000000000.jpg	78000.0	[]	1800.0	NC	81669.0	27820	114834942
2.5	3	Conway	[u'Lot: 1 acre', u'Single Family', u'Built in 1950', u'All time views: 587', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2014 for $110,000', u'Last sale price/sqft: $37', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 720 sqft garage', u'Porch', u'Storage', u'View: Park', u'16 by 28 storage building with porch.', u'Dishwasher', u'Breakfast nook', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Colonial', u'Floor size: 2,970 sqft', u'Heating: Electric', u'Last remodel year: 2007', u'Parcel #: 03-04210', u'Zillow Home ID: 114835320']	http://photos2.zillowstatic.com/p_e/ISt8e52lng7fn81000000000.jpg	110000.0	[]	2970.0	NC	145337.0	27820	114835320
3.0	3	Conway	[u'Lot: 1.28 acres', u'Single Family', u'Built in 1935', u'All time views: 815', u'Cooling: Other', u'Heating: Other', u'Last sold: Mar 2014 for $40,000', u'Last sale price/sqft: $19', u'Fireplace', u'Foundation type: Concrete', u'Room count: 6', u'Stories: 1.5', u'Floor size: 2,143 sqft', u'Heating: Other', u'Parcel #: 03-00926', u'Zillow Home ID: 114835699']	http://photos3.zillowstatic.com/p_e/ISl6bf70jegh850000000000.jpg	40000.0	[]	2143.0	NC	97705.0	27820	114835699
2.0	3	Conway	[u'Baths: 1 full, 1 half', u'Lot: 0.51 acres', u'Single Family', u'Built in 1961', u'All time views: 917', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $73,000', u'Last sale price/sqft: $52', u'Fireplace', u'Foundation type: Concrete', u'Room count: 6', u'Stories: 1', u'Floor size: 1,400 sqft', u'Heating: Other', u'Parcel #: 03-01420', u'Zillow Home ID: 114834461']	http://photos2.zillowstatic.com/p_e/ISp98mubgjm3mf0000000000.jpg	73000.0	[]	1400.0	NC	83508.0	27820	114834461
2.0	3	Conway	[u'Baths: 1 full, 1 half', u'Lot: 0.7 acres', u'Single Family', u'Built in 1994', u'All time views: 1,741', u'Cooling: None', u'Heating: Other', u'Last sold: May 2016 for $16,000', u'Last sale price/sqft: $15', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,080 sqft', u'Heating: Other', u'Parcel #: 09-02320', u'Zillow Home ID: 114839526']	http://photos3.zillowstatic.com/p_e/IS9dsr1t8qr4aw1000000000.jpg	16000.0	[]	1080.0	NC	45689.0	27820	114839526
3.0	3	Conway	[u'Baths: 2 full, 1 half', u'Lot: 2.03 acres', u'Single Family', u'Built in 1972', u'All time views: 498', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $179,000', u'Last sale price/sqft: $82', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport, Garage - Detached, 4 spaces', u'Patio', u'Security System', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,190 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2015', u'Laundry: In Unit', u'Parcel #: 13-00176', u'Zillow Home ID: 114831705']	http://photos1.zillowstatic.com/p_e/ISlaq94b8mr2g40000000000.jpg	179000.0	[]	2190.0	NC	126224.0	27820	114831705
1.0	3	Conway	[u'Lot: 36 sqft', u'Single Family', u'Built in 1949', u'All time views: 655', u'Heating: Other', u'Last sold: Aug 2015 for $69,000', u'Last sale price/sqft: $50', u'Fireplace', u'Foundation type: Concrete', u'Room count: 6', u'Stories: 1', u'Floor size: 1,380 sqft', u'Heating: Other', u'Parcel #: 03-02059', u'Zillow Home ID: 114834881']	http://photos2.zillowstatic.com/p_e/ISdcqwkvss9us40000000000.jpg	69000.0	[]	1380.0	NC	62557.0	27820	114834881
2.0	3	Conway	[u'Lot: 1 acre', u'Single Family', u'Built in 1980', u'All time views: 1,461', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2015 for $142,000', u'Last sale price/sqft: $86', u'Fireplace', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Attached, 1400 sqft garage', u'Patio', u'Living room', u'Microwave', u'Range / Oven', u'Refrigerator', u'Family room', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,660 sqft', u'Heating: Other', u'Parcel #: 09-01302', u'Zillow Home ID: 114839302']	http://photos2.zillowstatic.com/p_e/ISt4zuws6id3on0000000000.jpg	142000.0	[]	1660.0	NC	93976.0	27820	114839302
1.0	3	Conway	[u'Lot: 0.82 acres', u'Single Family', u'Built in 1977', u'105 days on Zillow', u'Views since listing: 549', u'All time views: 1,104', u'3 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2015 for $21,000', u'Last sale price/sqft: $21', u'MLS #: 859', u'Flooring: Hardwood', u'Parking: Carport', u'Range / Oven', u'Exterior material: Brick', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,000 sqft', u'Heating: Electric', u'Parcel #: 03-01504', u'Zillow Home ID: 114834514']	http://photos3.zillowstatic.com/p_e/IS95yqe8me2x090000000000.jpg	21000.0	[]	1000.0	NC	66598.0	27820	114834514
2.0	4	Conway	[u'Lot: 0.26 acres', u'Single Family', u'Built in 2012', u'All time views: 1,424', u'Heating: Other', u'Last sold: Nov 2014 for $105,000', u'Last sale price/sqft: $61', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,728 sqft', u'Heating: Other', u'Parcel #: 03-01062', u'Zillow Home ID: 114834543']	http://photos2.zillowstatic.com/p_e/ISdw5mq7ectya30000000000.jpg	105000.0	[]	1728.0	NC	88178.0	27820	114834543
1.5	3	Conway	[u'Lot: 10,454 sqft', u'Single Family', u'Built in 1979', u'All time views: 607', u'Cooling: Other', u'Heating: Other', u'Last sold: Nov 2014 for $11,500', u'Last sale price/sqft: $11', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,077 sqft', u'Heating: Other', u'Parcel #: 03-00068', u'Zillow Home ID: 114835618']	http://photos1.zillowstatic.com/p_e/ISp16bqkeo8w8t1000000000.jpg	11500.0	[]	1077.0	NC	58277.0	27820	114835618
1.0	3	Conway	[u'Lot: 0.53 acres', u'Single Family', u'Built in 1971', u'All time views: 523', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $78,000', u'Last sale price/sqft: $43', u'Fireplace', u'Foundation type: Concrete', u'Room count: 6', u'Stories: 1', u'Floor size: 1,800 sqft', u'Heating: Other', u'Parcel #: 03-02074', u'Zillow Home ID: 114834942']	http://photos2.zillowstatic.com/p_e/ISdsaj8uge93wm0000000000.jpg	78000.0	[]	1800.0	NC	81669.0	27820	114834942
2.5	3	Conway	[u'Lot: 1 acre', u'Single Family', u'Built in 1950', u'All time views: 586', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2014 for $110,000', u'Last sale price/sqft: $37', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 720 sqft garage', u'Porch', u'Storage', u'View: Park', u'16 by 28 storage building with porch.', u'Dishwasher', u'Breakfast nook', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Colonial', u'Floor size: 2,970 sqft', u'Heating: Electric', u'Last remodel year: 2007', u'Parcel #: 03-04210', u'Zillow Home ID: 114835320']	http://photos2.zillowstatic.com/p_e/ISt8e52lng7fn81000000000.jpg	110000.0	[]	2970.0	NC	145337.0	27820	114835320
3.0	3	Conway	[u'Lot: 1.28 acres', u'Single Family', u'Built in 1935', u'All time views: 818', u'Cooling: Other', u'Heating: Other', u'Last sold: Mar 2014 for $40,000', u'Last sale price/sqft: $19', u'Fireplace', u'Foundation type: Concrete', u'Room count: 6', u'Stories: 1.5', u'Floor size: 2,143 sqft', u'Heating: Other', u'Parcel #: 03-00926', u'Zillow Home ID: 114835699']	http://photos3.zillowstatic.com/p_e/ISl6bf70jegh850000000000.jpg	40000.0	[]	2143.0	NC	97705.0	27820	114835699
2.0	3	Conway	[u'Baths: 1 full, 1 half', u'Lot: 0.51 acres', u'Single Family', u'Built in 1961', u'All time views: 919', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $73,000', u'Last sale price/sqft: $52', u'Fireplace', u'Foundation type: Concrete', u'Room count: 6', u'Stories: 1', u'Floor size: 1,400 sqft', u'Heating: Other', u'Parcel #: 03-01420', u'Zillow Home ID: 114834461']	http://photos2.zillowstatic.com/p_e/ISp98mubgjm3mf0000000000.jpg	73000.0	[]	1400.0	NC	83508.0	27820	114834461
2.0	3	Conway	[u'Baths: 1 full, 1 half', u'Lot: 0.7 acres', u'Single Family', u'Built in 1994', u'All time views: 1,738', u'Cooling: None', u'Heating: Other', u'Last sold: May 2016 for $16,000', u'Last sale price/sqft: $15', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,080 sqft', u'Heating: Other', u'Parcel #: 09-02320', u'Zillow Home ID: 114839526']	http://photos3.zillowstatic.com/p_e/IS9dsr1t8qr4aw1000000000.jpg	16000.0	[]	1080.0	NC	45689.0	27820	114839526
3.0	3	Conway	[u'Baths: 2 full, 1 half', u'Lot: 2.03 acres', u'Single Family', u'Built in 1972', u'All time views: 497', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $179,000', u'Last sale price/sqft: $82', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport, Garage - Detached, 4 spaces', u'Patio', u'Security System', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,190 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2015', u'Laundry: In Unit', u'Parcel #: 13-00176', u'Zillow Home ID: 114831705']	http://photos1.zillowstatic.com/p_e/ISlaq94b8mr2g40000000000.jpg	179000.0	[]	2190.0	NC	126224.0	27820	114831705
1.0	3	Conway	[u'Lot: 36 sqft', u'Single Family', u'Built in 1949', u'All time views: 653', u'Heating: Other', u'Last sold: Aug 2015 for $69,000', u'Last sale price/sqft: $50', u'Fireplace', u'Foundation type: Concrete', u'Room count: 6', u'Stories: 1', u'Floor size: 1,380 sqft', u'Heating: Other', u'Parcel #: 03-02059', u'Zillow Home ID: 114834881']	http://photos2.zillowstatic.com/p_e/ISdcqwkvss9us40000000000.jpg	69000.0	[]	1380.0	NC	62557.0	27820	114834881
2.0	3	Conway	[u'Lot: 1 acre', u'Single Family', u'Built in 1980', u'All time views: 1,458', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2015 for $142,000', u'Last sale price/sqft: $86', u'Fireplace', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Attached, 1400 sqft garage', u'Patio', u'Living room', u'Microwave', u'Range / Oven', u'Refrigerator', u'Family room', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,660 sqft', u'Heating: Other', u'Parcel #: 09-01302', u'Zillow Home ID: 114839302']	http://photos2.zillowstatic.com/p_e/ISt4zuws6id3on0000000000.jpg	142000.0	[]	1660.0	NC	93976.0	27820	114839302
