baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Barco	[u'Lot: 1 acre', u'Single Family', u'Built in 2006', u'All time views: 1,949', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2015 for $216,000', u'Last sale price/sqft: $152', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 1 space', u'Washer Dryer Connections: Electric Dryer Connections', u'Defects: No Known Defects', u'Financing Available: Cash Sale', u'Financing Available: Conventional', u'Status: Active', u'Lot Description: Cleared', u'Ownership Type: Full Ownership', u'Property Type: Free Standing', u'Restrictions: Deed Restrictions', u'Washer Dryer Connections: Washer Connections', u'Disclosures: No Disclosures', u'Exterior Description: Back Yard Fenced', u'Exterior Description: Storage Shed', u'List Type: Lease', u'Room Description: 1 Living Area', u'Financing Available: FHA', u'Financing Available: VA', u'Window Cover', u'Bedroom Description: All Bedrooms Down', u'Smoke Alarm', u'Oven Type: Convection Oven', u'Oven Type: Double Oven', u'Range Type: Electric Range', u'Heating System Description: Central Electric', u'Range Type: Freestanding Range', u'Year Built Source: Seller', u'Master Bath Description: Tub with Shower', u'SqFt Source: Seller', u'Utility Room Description: Utility Room 1st Floor', u'Foundation Description: Block & Beam', u'Style Description: Ranch', u'Water Sewer Description: Septic Tank', u'Water Sewer Description: Well', u'Acreage: 2 Up to 1 Acre', u'Exterior Construction: Aluminum', u'Number Of Unit Stories: 1', u'Geo Market Area: Other', u'Section Number: 1', u'3rd Bedroom Dimension: 11x10', u'2nd Bedroom Dimension: 11X10', u'1st Bedroom Dimension: 14x15', u'Kitchen Dimensions: 14X14', u'Legal Subdivision: Other', u'Legal Description: Lot 1 Amelia Brumse Brothers', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,419 sqft', u'Parcel #: 0060000044C0000', u'Zillow Home ID: 81646862']	http://photos1.zillowstatic.com/p_e/ISdg1g2gt9aoo60000000000.jpg	216000.0	[]	1419.0	NC	190560.0	27917	81646862
2.0	3	Barco	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1997', u'All time views: 3,524', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $61', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Lawn', u'Parking: Off street', u'Patio', u'Skylight', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Master bath', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Stories: 1', u'Floor size: 1,512 sqft', u'Laundry: In Unit', u'Parcel #: 0060000075B0000', u'Zillow Home ID: 78324304']	http://photos2.zillowstatic.com/p_e/IS-1f5lgjwartahp.jpg	92000.0	[]	1512.0	NC	146697.0	27917	78324304
2.0	4	Barco	[u'Lot: 0.94 acres', u'Single Family', u'Built in 2006', u'All time views: 3,460', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jul 2016 for $250,000', u'Last sale price/sqft: $121', u'Parking: Garage - Attached', u'HasBasement: 0', u'HasBodyOfWater: 0', u'IsForeClosure: 0', u'IsNewConstruction: 0', u'IsSale: 1', u'LotSquareFootage: 0', u'NoOfLevels: 0', u'PropertyType: Residential', u'WaterHeater: Electric', u'HasPool: 0', u'HasWaterFront: 0', u'CondoFee: 0', u'CvrdParking1Spaces: 0', u'CvrdParking2Spaces: 0', u'HasWaterView: 0', u'HOAFee: 0', u'TotalLeasedUnits: 0', u'TotalNoOfUnits: 0', u'TotalUnfurnishedUnits: 0', u'BasementType: Crawl Space', u'HalfBaths: 0', u'HasWaterAccess: 1', u'LotNumber: 2', u'TotalSquareFeet: 2100', u'Acreage: 0.94', u'TaxYear: 2015', u'Water: County Water', u'Washer Hook-up', u'Dryer Hook-up', u'Sewer: Septic-Sewer', u'Style: One Story', u'Large Master Bedroom', u'Fenced Back Yard', u'Underground Utilities', u'Gas Logs (Propane)', u'Ownership: Bank Owned', u'LotDimensions: 40946', u'RoomType: Master Bedroom', u'RoomLevel: Living Room 1', u'RoomLevel: Master Bedroom 1', u'RoomType: Kitchen Dining Combo', u'RoomLevel: Kitchen Dining Combo 1', u'RoomDimension: fireplace', u'TotalTaxes: 1135.56', u'RoomDimension: Master Bedroom nice', u'RoomDimension: Kitchen Dining Combo nice size', u'Exterior material: Vinyl', u'Foundation type: Crawl/Raised', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,060 sqft', u'Parcel #: 0060000053G0000', u'Zillow Home ID: 113096215']	http://photos3.zillowstatic.com/p_e/IStw8p4g0zis051000000000.jpg	250000.0	[]	2060.0	NC	238335.0	27917	113096215
2.0	3	Barco	[u'Lot: 0.93 acres', u'Single Family', u'Built in 2003', u'All time views: 1,265', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $111,111', u'Last sale price/sqft: $71', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 200 sqft garage', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Rooms: Kitchen', u'Location Description: Under 1 acre', u'Drive: Concrete', u'Water Desc: None', u'Large Master Bedroom', u'Underground Utilities', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'County: Currituck', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Rooms: Utility Room', u'Laminated Counter Tops', u'Heating System: Electric Furnace', u'Modular: Multi Section Manufacture', u'Ownership Rights: Government Owned', u'Chain Link Fence', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,566 sqft', u'Parcel #: 0060000085D0000', u'Zillow Home ID: 123771284']	http://photos1.zillowstatic.com/p_e/IS1fozbfdhfkfs0000000000.jpg	111111.0	[]	1566.0	NC	134218.0	27917	123771284
2.0	3	Barco	[u'Lot: 1 acre', u'Single Family', u'Built in 2006', u'All time views: 1,953', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2015 for $216,000', u'Last sale price/sqft: $152', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 1 space', u'Washer Dryer Connections: Electric Dryer Connections', u'Defects: No Known Defects', u'Financing Available: Cash Sale', u'Financing Available: Conventional', u'Status: Active', u'Lot Description: Cleared', u'Ownership Type: Full Ownership', u'Property Type: Free Standing', u'Restrictions: Deed Restrictions', u'Washer Dryer Connections: Washer Connections', u'Disclosures: No Disclosures', u'Exterior Description: Back Yard Fenced', u'Exterior Description: Storage Shed', u'List Type: Lease', u'Room Description: 1 Living Area', u'Financing Available: FHA', u'Financing Available: VA', u'Window Cover', u'Bedroom Description: All Bedrooms Down', u'Smoke Alarm', u'Oven Type: Convection Oven', u'Oven Type: Double Oven', u'Range Type: Electric Range', u'Heating System Description: Central Electric', u'Range Type: Freestanding Range', u'Year Built Source: Seller', u'Master Bath Description: Tub with Shower', u'SqFt Source: Seller', u'Utility Room Description: Utility Room 1st Floor', u'Foundation Description: Block & Beam', u'Style Description: Ranch', u'Water Sewer Description: Septic Tank', u'Water Sewer Description: Well', u'Acreage: 2 Up to 1 Acre', u'Exterior Construction: Aluminum', u'Number Of Unit Stories: 1', u'Geo Market Area: Other', u'Section Number: 1', u'3rd Bedroom Dimension: 11x10', u'2nd Bedroom Dimension: 11X10', u'1st Bedroom Dimension: 14x15', u'Kitchen Dimensions: 14X14', u'Legal Subdivision: Other', u'Legal Description: Lot 1 Amelia Brumse Brothers', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,419 sqft', u'Parcel #: 0060000044C0000', u'Zillow Home ID: 81646862']	http://photos1.zillowstatic.com/p_e/ISdg1g2gt9aoo60000000000.jpg	216000.0	[]	1419.0	NC	190560.0	27917	81646862
2.0	3	Barco	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1997', u'All time views: 3,515', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $61', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Lawn', u'Parking: Off street', u'Patio', u'Skylight', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Master bath', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Stories: 1', u'Floor size: 1,512 sqft', u'Laundry: In Unit', u'Parcel #: 0060000075B0000', u'Zillow Home ID: 78324304']	http://photos2.zillowstatic.com/p_e/IS-1f5lgjwartahp.jpg	92000.0	[]	1512.0	NC	146697.0	27917	78324304
2.0	4	Barco	[u'Lot: 0.94 acres', u'Single Family', u'Built in 2006', u'All time views: 3,464', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jul 2016 for $250,000', u'Last sale price/sqft: $121', u'Parking: Garage - Attached', u'HasBasement: 0', u'HasBodyOfWater: 0', u'IsForeClosure: 0', u'IsNewConstruction: 0', u'IsSale: 1', u'LotSquareFootage: 0', u'NoOfLevels: 0', u'PropertyType: Residential', u'WaterHeater: Electric', u'HasPool: 0', u'HasWaterFront: 0', u'CondoFee: 0', u'CvrdParking1Spaces: 0', u'CvrdParking2Spaces: 0', u'HasWaterView: 0', u'HOAFee: 0', u'TotalLeasedUnits: 0', u'TotalNoOfUnits: 0', u'TotalUnfurnishedUnits: 0', u'BasementType: Crawl Space', u'HalfBaths: 0', u'HasWaterAccess: 1', u'LotNumber: 2', u'TotalSquareFeet: 2100', u'Acreage: 0.94', u'TaxYear: 2015', u'Water: County Water', u'Washer Hook-up', u'Dryer Hook-up', u'Sewer: Septic-Sewer', u'Style: One Story', u'Large Master Bedroom', u'Fenced Back Yard', u'Underground Utilities', u'Gas Logs (Propane)', u'Ownership: Bank Owned', u'LotDimensions: 40946', u'RoomType: Master Bedroom', u'RoomLevel: Living Room 1', u'RoomLevel: Master Bedroom 1', u'RoomType: Kitchen Dining Combo', u'RoomLevel: Kitchen Dining Combo 1', u'RoomDimension: fireplace', u'TotalTaxes: 1135.56', u'RoomDimension: Master Bedroom nice', u'RoomDimension: Kitchen Dining Combo nice size', u'Exterior material: Vinyl', u'Foundation type: Crawl/Raised', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,060 sqft', u'Parcel #: 0060000053G0000', u'Zillow Home ID: 113096215']	http://photos3.zillowstatic.com/p_e/IStw8p4g0zis051000000000.jpg	250000.0	[]	2060.0	NC	238335.0	27917	113096215
2.0	3	Barco	[u'Lot: 0.93 acres', u'Single Family', u'Built in 2003', u'All time views: 1,259', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $111,111', u'Last sale price/sqft: $71', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 200 sqft garage', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Rooms: Kitchen', u'Location Description: Under 1 acre', u'Drive: Concrete', u'Water Desc: None', u'Large Master Bedroom', u'Underground Utilities', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'County: Currituck', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Rooms: Utility Room', u'Laminated Counter Tops', u'Heating System: Electric Furnace', u'Modular: Multi Section Manufacture', u'Ownership Rights: Government Owned', u'Chain Link Fence', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,566 sqft', u'Parcel #: 0060000085D0000', u'Zillow Home ID: 123771284']	http://photos1.zillowstatic.com/p_e/IS1fozbfdhfkfs0000000000.jpg	111111.0	[]	1566.0	NC	134218.0	27917	123771284
2.0	3	Barco	[u'Lot: 1 acre', u'Single Family', u'Built in 2006', u'All time views: 1,956', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2015 for $216,000', u'Last sale price/sqft: $152', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 1 space', u'Washer Dryer Connections: Electric Dryer Connections', u'Defects: No Known Defects', u'Financing Available: Cash Sale', u'Financing Available: Conventional', u'Status: Active', u'Lot Description: Cleared', u'Ownership Type: Full Ownership', u'Property Type: Free Standing', u'Restrictions: Deed Restrictions', u'Washer Dryer Connections: Washer Connections', u'Disclosures: No Disclosures', u'Exterior Description: Back Yard Fenced', u'Exterior Description: Storage Shed', u'List Type: Lease', u'Room Description: 1 Living Area', u'Financing Available: FHA', u'Financing Available: VA', u'Window Cover', u'Bedroom Description: All Bedrooms Down', u'Smoke Alarm', u'Oven Type: Convection Oven', u'Oven Type: Double Oven', u'Range Type: Electric Range', u'Heating System Description: Central Electric', u'Range Type: Freestanding Range', u'Year Built Source: Seller', u'Master Bath Description: Tub with Shower', u'SqFt Source: Seller', u'Utility Room Description: Utility Room 1st Floor', u'Foundation Description: Block & Beam', u'Style Description: Ranch', u'Water Sewer Description: Septic Tank', u'Water Sewer Description: Well', u'Acreage: 2 Up to 1 Acre', u'Exterior Construction: Aluminum', u'Number Of Unit Stories: 1', u'Geo Market Area: Other', u'Section Number: 1', u'3rd Bedroom Dimension: 11x10', u'2nd Bedroom Dimension: 11X10', u'1st Bedroom Dimension: 14x15', u'Kitchen Dimensions: 14X14', u'Legal Subdivision: Other', u'Legal Description: Lot 1 Amelia Brumse Brothers', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,419 sqft', u'Parcel #: 0060000044C0000', u'Zillow Home ID: 81646862']	http://photos1.zillowstatic.com/p_e/ISdg1g2gt9aoo60000000000.jpg	216000.0	[]	1419.0	NC	190560.0	27917	81646862
2.0	3	Barco	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1997', u'All time views: 3,513', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $61', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Lawn', u'Parking: Off street', u'Patio', u'Skylight', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Master bath', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Stories: 1', u'Floor size: 1,512 sqft', u'Laundry: In Unit', u'Parcel #: 0060000075B0000', u'Zillow Home ID: 78324304']	http://photos2.zillowstatic.com/p_e/IS-1f5lgjwartahp.jpg	92000.0	[]	1512.0	NC	146697.0	27917	78324304
